	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	
Sample_51	1e-05	0.00053	0.0	0.0	7e-06	0.071655	0.027499	0.010715	0.00862	0.880965	0.0	
Sample_52	1.1e-05	0.124558	0.016744	0.0	7e-06	0.056181	0.022337	5e-06	3.1e-05	0.780127	0.0	
Sample_53	0.005568	0.120087	0.0	0.0	5e-06	0.046995	4e-06	2e-06	1.8e-05	0.827321	0.0	
Sample_54	1.2e-05	0.036216	0.003486	0.0	7e-06	0.174051	0.010293	0.02333	0.053129	0.699475	0.0	
Sample_55	0.019642	0.067531	0.01145	1e-06	0.044601	0.0	0.109118	0.02738	0.096136	0.624142	0.0	
Sample_56	0.017652	0.023263	0.0	1e-06	0.053366	0.042593	1.7e-05	6e-06	0.142126	0.720977	0.0	
Sample_57	3.1e-05	0.116206	0.0	1e-06	1.6e-05	0.166411	0.233696	0.052524	6.7e-05	0.431049	0.0	
Sample_58	0.01573	0.042907	0.0	0.0	0.027914	0.677846	0.070643	1e-06	0.005128	0.159833	0.0	
Sample_59	0.081189	0.071651	0.0	0.0	0.035627	0.47829	0.117399	0.027562	0.056452	0.131829	0.0	
Sample_60	0.061497	0.119547	0.0	0.00728	0.029556	0.408762	0.052873	2e-06	0.182585	0.137896	0.0	
Sample_61	0.032772	0.000283	0.0	0.21288	0.011832	0.0	0.06647	8e-06	6.3e-05	0.007363	0.668329	
Sample_62	0.040117	0.000289	0.0	0.225587	1.5e-05	0.0	0.063503	8e-06	5.3e-05	0.003859	0.666569	
Sample_63	1e-06	1.2e-05	0.0	0.169163	0.0	0.0	0.0	0.004486	1e-06	0.000511	0.825826	
Sample_64	4e-06	0.000236	0.0	0.342908	2e-06	0.0	0.011692	2e-06	1.3e-05	3e-06	0.64514	
