	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	
Sample_1	0.365124	0.290803	0.117919	0.205552	0.020602	
Sample_2	0.38044	0.195194	0.033686	0.259079	0.131602	
Sample_3	0.54387	0.415005	0.016805	0.011	0.01332	
Sample_4	0.325367	0.082927	0.2618	0.219736	0.110171	
Sample_5	0.505342	0.074611	0.198398	0.199339	0.02231	
Sample_6	0.407252	0.096978	0.335869	0.060482	0.099419	
Sample_7	0.917152	0.018538	0.03389	0.011547	0.018874	
Sample_8	0.131426	0.066934	0.20037	0.40175	0.199521	
Sample_9	0.221651	0.132749	0.108833	0.2922	0.244566	
Sample_10	0.075354	0.046263	0.019987	0.521864	0.336532	
Sample_11	0.096122	0.049201	0.011344	0.483168	0.360166	
Sample_12	0.139357	0.040425	0.015625	0.391802	0.412792	
Sample_13	0.183851	0.046546	0.118235	0.622254	0.029115	
Sample_14	0.217158	0.034979	0.11391	0.541524	0.09243	
Sample_15	0.156923	0.032179	0.201643	0.544326	0.064929	
Sample_16	0.152254	0.069257	0.051079	0.541444	0.185965	
Sample_17	0.247571	0.099145	0.212416	0.423617	0.017251	
Sample_18	0.399519	0.089787	0.010424	0.496101	0.004169	
Sample_19	0.089857	0.117734	0.311783	0.037193	0.443432	
Sample_20	0.130512	0.114568	0.306677	0.084954	0.363289	
Sample_21	0.100258	0.061398	0.264575	0.172426	0.401343	
Sample_22	0.086781	0.06464	0.299586	0.132456	0.416538	
Sample_23	0.045024	0.003728	0.334501	0.064419	0.552328	
Sample_24	0.017454	0.000248	0.393139	0.00242	0.586739	
Sample_25	0.056794	0.001162	0.390514	0.064158	0.487372	
Sample_26	0.063334	0.042163	0.142872	0.159272	0.592359	
Sample_27	0.085095	0.008582	0.205919	0.162846	0.537558	
Sample_28	0.040789	0.008898	0.156404	0.083261	0.710647	
Sample_29	0.084225	0.072372	0.261262	0.244685	0.337455	
Sample_30	0.021476	0.209258	0.117289	0.180704	0.471273	
Sample_31	0.137788	0.106812	0.006565	0.280496	0.46834	
Sample_32	0.174143	0.031094	0.61823	0.062621	0.113912	
Sample_33	0.170587	0.009175	0.635399	0.091748	0.093091	
Sample_34	0.002973	0.001922	0.793476	0.064904	0.136724	
Sample_35	0.028294	0.005066	0.809353	0.048392	0.108894	
Sample_36	0.205584	0.172004	0.528361	0.072664	0.021386	
Sample_37	0.152857	0.047149	0.533776	0.067767	0.198451	
Sample_38	0.091025	0.057634	0.530446	0.074927	0.245968	
Sample_39	0.145537	0.060589	0.473212	0.16674	0.153923	
Sample_40	0.087629	0.081829	0.434695	0.178748	0.2171	
Sample_41	0.096209	0.040407	0.457235	0.168131	0.238017	
Sample_42	0.064707	0.018937	0.458507	0.145166	0.312683	
Sample_43	0.054727	0.016679	0.541112	0.164946	0.222536	
Sample_44	0.018241	0.02126	0.583337	0.105306	0.271857	
Sample_45	0.062491	0.007686	0.475047	0.055698	0.399079	
Sample_46	0.06273	0.014897	0.493973	0.028322	0.400078	
Sample_47	0.100199	0.000416	0.462018	0.071264	0.366103	
Sample_48	0.010985	0.002834	0.523057	0.001053	0.462072	
Sample_49	0.10839	0.032408	0.495227	0.05692	0.307056	
Sample_50	0.08525	0.015794	0.548216	0.040278	0.310463	
Sample_51	0.051823	0.021315	0.510183	0.071518	0.345161	
Sample_52	0.048493	0.028212	0.497544	0.098512	0.32724	
Sample_53	0.033038	0.003868	0.557897	0.038107	0.367091	
Sample_54	0.026506	0.018208	0.567663	0.005623	0.382	
Sample_55	0.034703	0.00437	0.597991	0.034587	0.328349	
Sample_56	0.136965	0.029918	0.342855	0.195941	0.294321	
Sample_57	0.125644	0.014388	0.402032	0.193124	0.264812	
Sample_58	0.100821	0.010973	0.391215	0.123371	0.37362	
Sample_59	0.140848	0.019474	0.392053	0.07885	0.368776	
Sample_60	0.193713	0.127121	0.382807	0.103673	0.192687	
Sample_61	0.197373	0.038678	0.452525	0.027103	0.284322	
Sample_62	0.061067	0.328024	0.25017	0.137207	0.223531	
Sample_63	0.073832	0.305878	0.253357	0.099771	0.267162	
Sample_64	0.003546	0.841243	0.054137	0.049859	0.051214	
