	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	
Sample_59	0.028084	0.009677	0.802917	2.9e-05	1.4e-05	3.6e-05	0.159211	0.0	3.1e-05	
Sample_60	0.199312	0.009312	0.652495	0.023744	0.021558	3.5e-05	3e-05	0.008346	0.085168	
Sample_61	1.7e-05	1.7e-05	0.451623	0.087645	0.028315	0.189328	0.169145	0.019815	0.054094	
Sample_62	0.891789	0.007255	4e-06	0.005902	0.007682	5.7e-05	0.007417	0.0	0.079894	
Sample_63	0.883523	6e-06	0.013573	2.1e-05	0.006884	0.011019	0.007047	0.0	0.077926	
Sample_64	0.804554	0.008571	5e-06	0.11701	0.015631	0.013204	0.008617	0.0	0.032408	
Sample_65	0.092343	1.4e-05	0.018699	1.2e-05	0.016371	4.4e-05	3.9e-05	0.872459	1.9e-05	
Sample_66	0.081891	1.5e-05	0.017464	1.3e-05	0.017211	4.5e-05	4e-05	0.8833	2.1e-05	
Sample_67	0.0	0.0	0.0	0.0	0.0	1e-06	0.0	0.999833	0.000165	
Sample_68	2e-06	2e-06	1e-06	2e-06	5e-06	0.008107	0.00269	0.987479	0.001711	
