	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	
Sample_1	0.604436	0.096122	0.0	0.15639	0.143052	
Sample_2	0.705473	0.021562	0.0	0.170931	0.102034	
Sample_3	0.565019	0.02337	0.0	0.207171	0.20444	
Sample_4	0.506837	0.247224	0.0	0.131643	0.114295	
Sample_5	0.476872	0.262603	0.072342	0.148124	0.040058	
Sample_6	0.430105	0.219027	0.0	0.014627	0.336241	
Sample_7	0.526292	0.173438	0.0	0.007572	0.292697	
Sample_8	0.47649	0.102275	0.0	0.00883	0.412406	
Sample_9	0.44275	0.080386	0.130176	0.009823	0.336865	
Sample_10	0.295118	0.182096	0.0	0.185647	0.337139	
Sample_11	0.300822	0.204173	0.0	0.122744	0.372261	
Sample_12	0.303368	0.228756	0.0	0.04173	0.426145	
Sample_13	0.198162	0.032147	0.0	0.74106	0.028632	
Sample_14	0.170442	0.010188	0.0	0.764583	0.054786	
Sample_15	0.140785	0.052845	0.0	0.618797	0.187573	
Sample_16	0.131198	0.038352	0.0	0.634217	0.196233	
Sample_17	0.035978	0.239951	0.0	0.551024	0.173046	
Sample_18	0.397773	0.145366	0.0	0.255402	0.201459	
Sample_19	0.429461	0.088714	0.0	0.268707	0.213118	
Sample_20	0.43171	0.083183	0.05615	0.278381	0.150577	
Sample_21	0.444208	0.175865	0.0	0.328639	0.051288	
Sample_22	0.382768	0.163312	0.0	0.317131	0.136789	
Sample_23	0.344457	0.092589	0.0	0.336421	0.226533	
Sample_24	0.336539	0.041069	0.0	0.376839	0.245553	
Sample_25	0.410209	0.030294	0.0	0.378326	0.18117	
Sample_26	0.387348	0.037705	0.002898	0.392508	0.179541	
Sample_27	0.47607	0.067746	0.0	0.4056	0.050584	
Sample_28	0.561604	0.014876	0.0	0.405657	0.017863	
Sample_29	0.484285	0.005108	0.0	0.500911	0.009697	
Sample_30	0.559593	0.005492	0.0	0.335668	0.099247	
Sample_31	0.226779	0.05832	0.0	0.532754	0.182147	
Sample_32	0.21044	0.104862	0.0	0.459352	0.225347	
Sample_33	0.28652	0.077507	0.0	0.447577	0.188396	
Sample_34	0.301316	0.0432	0.0	0.443965	0.211519	
Sample_35	0.21788	0.178016	0.0	0.396356	0.207749	
Sample_36	0.270447	0.136177	0.0	0.42886	0.164516	
Sample_37	0.381393	0.017067	0.0	0.465552	0.135988	
Sample_38	0.360445	0.052017	0.0	0.44421	0.143328	
Sample_39	0.340763	0.013131	0.0	0.512463	0.133644	
Sample_40	0.337163	0.042901	0.0	0.483746	0.13619	
Sample_41	0.370247	0.040013	0.0	0.502846	0.086893	
Sample_42	0.366477	0.052008	0.0	0.481036	0.100478	
Sample_43	0.420432	0.029125	0.0	0.472045	0.078397	
Sample_44	0.416498	0.037221	0.0	0.484769	0.061512	
Sample_45	0.384379	0.014066	0.0	0.550931	0.050624	
Sample_46	0.39382	0.025873	0.0	0.560321	0.019986	
Sample_47	0.357072	0.011908	0.0	0.577448	0.053571	
Sample_48	0.306582	0.050812	0.0091	0.555913	0.077593	
Sample_49	0.32056	0.02488	0.025485	0.538703	0.090373	
Sample_50	0.266727	0.076129	0.0	0.531563	0.125581	
Sample_51	0.277468	0.089852	0.0	0.525102	0.107578	
Sample_52	0.253046	0.425096	0.0	0.276143	0.045716	
Sample_53	0.25303	0.360589	0.10466	0.254745	0.026976	
Sample_54	0.071151	0.789239	0.0	0.120399	0.019211	
Sample_55	0.045977	0.399463	0.0	0.161095	0.393464	
Sample_56	0.013967	0.420845	0.0	0.062521	0.502667	
Sample_57	0.169141	0.293775	0.024344	0.055856	0.456884	
Sample_58	0.106583	0.14351	0.0	0.371302	0.378605	
Sample_59	0.156719	0.186306	0.0	0.272627	0.384348	
Sample_60	0.089547	0.247297	0.0	0.220615	0.442541	
Sample_61	0.049276	0.171277	0.0	0.228578	0.550869	
Sample_62	0.012494	0.10578	0.0	0.069554	0.812172	
Sample_63	0.028706	0.274228	0.0	0.022079	0.674987	
Sample_64	0.174019	0.097873	0.0	0.100198	0.627911	
Sample_65	0.197633	0.06961	0.106035	0.078005	0.548717	
Sample_66	0.028216	0.07468	0.702176	0.040987	0.153941	
