	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	
Sample_47	0.102179	0.00691	0.272157	1e-06	0.335896	0.078587	0.0	0.124364	0.022883	0.017626	0.006497	0.0329	
Sample_48	0.089191	0.0	0.248593	0.017072	0.352516	5e-06	0.016373	0.072893	0.050513	0.03387	0.022377	0.096597	
Sample_49	0.094847	0.0	0.330856	0.005056	0.305632	5e-06	0.018914	0.143424	0.028358	0.022174	0.031395	0.019336	
Sample_50	0.056009	0.0	0.392105	0.001416	0.259963	0.023989	0.015711	0.170613	0.000265	0.031645	0.005371	0.042914	
Sample_51	0.120679	0.00745	0.029675	0.011113	0.387976	0.052654	0.0	0.165286	0.143181	0.016338	0.027359	0.038289	
Sample_52	0.173154	0.000899	0.068904	0.056749	0.354182	0.02474	0.004921	0.127815	0.138398	0.032894	0.015052	0.002291	
Sample_53	0.134893	2e-06	0.000268	4e-06	0.465669	0.035492	1e-06	0.071083	0.194814	0.015557	0.058124	0.024092	
Sample_54	0.132788	0.011645	0.114755	1e-06	0.363476	0.01487	0.0	0.063946	0.159555	0.054951	0.027465	0.056548	
Sample_55	0.135447	0.009437	0.113458	0.014628	0.348292	0.016248	0.0	0.069038	0.163145	0.045989	0.026295	0.058025	
Sample_56	0.19279	0.0	0.032139	0.004496	0.363461	0.016127	0.010506	0.090425	0.136554	0.031226	0.014678	0.107598	
Sample_57	0.147284	0.00103	0.146068	0.027067	0.397504	0.069315	0.0	0.051562	0.068949	0.040649	0.014906	0.035666	
Sample_58	0.046669	0.0	0.147686	0.012554	0.467672	0.024658	0.006781	0.054305	0.139373	0.043693	0.013592	0.043016	
Sample_59	0.22575	1e-06	0.000221	4e-06	0.552901	3.1e-05	1e-06	0.08724	0.030572	0.02025	0.020331	0.062697	
Sample_60	0.176869	0.0	0.060068	0.023592	0.355666	0.050335	0.017258	0.114023	0.040373	0.094565	0.010128	0.057121	
Sample_61	0.10276	1e-06	0.077743	5e-06	0.376669	0.051548	0.017867	0.175787	0.066441	0.001567	0.009503	0.120111	
Sample_62	0.056444	1e-06	0.090341	0.026568	0.366407	1.3e-05	0.038942	0.218164	0.061261	0.018464	0.056316	0.067079	
Sample_63	0.282626	0.0	0.042782	1e-06	0.34432	0.035157	0.0	0.158298	0.043232	0.012327	0.010364	0.070893	
Sample_64	0.290591	0.001268	0.036414	0.016244	0.344373	0.033757	0.0	0.123187	0.060766	0.01969	0.010733	0.062978	
Sample_65	0.278959	0.029162	0.00014	2e-06	0.389739	0.033554	0.0	0.113225	0.042348	0.0188	0.005029	0.089042	
Sample_66	0.239836	0.0	0.016141	0.011842	0.372329	0.024337	0.004022	0.142647	0.081215	0.039303	0.023904	0.044423	
Sample_67	0.251836	0.007443	0.057131	0.021738	0.36719	5e-06	0.0	0.109896	0.059522	0.05267	0.014695	0.057873	
Sample_68	0.292255	0.004703	0.041601	0.014092	0.335299	0.02072	0.002982	0.06665	0.071661	0.038469	0.018584	0.092983	
Sample_69	0.260528	0.0	0.056276	0.008854	0.30973	0.013678	0.008157	0.189049	0.083067	0.021967	0.004977	0.043717	
Sample_70	0.257015	0.0	0.024281	0.0	0.345734	3e-06	0.010178	0.184918	0.094185	0.019664	0.006774	0.057246	
Sample_71	0.264068	0.007531	0.02939	0.020125	0.317739	0.01462	0.00498	0.144845	0.109849	0.017473	0.01518	0.054199	
Sample_72	0.251948	0.0	0.051535	1e-06	0.288146	0.036132	0.0	0.178697	0.069946	0.038775	0.006252	0.078568	
Sample_73	0.221287	0.0	0.024122	1e-06	0.357358	0.054526	0.0	0.185186	0.058842	0.024637	0.010817	0.063223	
Sample_74	0.328671	0.0	0.068956	0.010073	0.282844	0.021852	0.028212	0.11923	0.051776	0.028927	0.027553	0.031906	
Sample_75	0.241279	0.003312	0.008844	0.003027	0.273239	4e-06	0.0	0.176711	0.102402	0.110831	0.022215	0.058136	
Sample_76	0.269535	0.013016	0.130591	0.00093	0.286708	0.025176	0.0	0.137808	0.011053	0.024474	0.004271	0.096438	
Sample_77	0.29367	0.006915	0.058553	2e-06	0.263985	9e-06	0.0	0.207949	0.023543	0.025894	0.01957	0.099911	
Sample_78	0.205761	0.0	0.081214	0.0	0.33271	0.062718	0.0	0.218212	0.035065	0.03091	0.007142	0.026267	
Sample_79	0.192515	0.0	0.084108	1e-06	0.315257	0.075021	0.0	0.234062	0.036364	0.03569	0.004316	0.022666	
Sample_80	0.211103	0.004786	0.095745	1e-06	0.32076	0.047344	0.0	0.200809	0.029636	0.023593	0.004637	0.061586	
Sample_81	0.203911	0.0	0.077113	0.0	0.284465	0.048413	0.00966	0.233459	0.04879	0.02634	0.011351	0.056497	
Sample_82	0.204499	0.0	0.071887	1e-06	0.296135	0.093626	0.00871	0.250501	0.000924	0.010007	0.005315	0.058394	
Sample_83	0.127399	0.002589	0.101219	0.016559	0.303264	0.084782	0.0	0.2199	0.038125	0.026868	0.023293	0.056002	
Sample_84	0.195148	0.0	0.093601	0.009673	0.303146	0.057724	0.0	0.143748	0.106354	0.017205	0.007676	0.065724	
Sample_85	0.172668	0.0	0.085203	0.021254	0.341457	0.053481	0.0	0.165634	0.06683	0.029902	0.030167	0.033403	
Sample_86	0.162583	0.007202	0.086225	1e-06	0.334108	0.020963	0.003305	0.226931	0.071964	0.035047	0.010021	0.041652	
Sample_87	0.207749	0.0	0.070894	0.002434	0.35853	8e-06	0.009048	0.227954	0.041239	0.025171	0.012288	0.044685	
Sample_88	0.174184	0.009907	0.082589	0.008288	0.367925	4e-06	0.0	0.184128	0.05427	0.036369	0.030527	0.051809	
Sample_89	0.130405	0.003032	0.078427	0.009014	0.375239	4e-06	0.011106	0.238742	0.05105	0.030586	0.019114	0.05328	
Sample_90	0.172452	1e-06	0.037863	1e-06	0.40588	2.4e-05	0.00656	0.223116	0.078896	0.012553	0.002938	0.059714	
Sample_91	0.172644	0.0	0.022835	0.003065	0.384512	5e-06	0.0	0.238237	0.102762	0.021089	0.011346	0.043505	
Sample_92	0.225988	0.0	4.1e-05	0.001452	0.399304	3e-06	0.003102	0.25851	0.047905	0.007167	0.006588	0.04994	
Sample_93	0.188626	0.0	4.9e-05	0.014129	0.36062	0.033588	0.010484	0.256304	0.030954	0.044082	0.011617	0.049545	
Sample_94	0.18903	1e-06	0.053402	0.001697	0.336079	5e-06	0.002055	0.208517	0.072686	0.101848	0.012457	0.022225	
Sample_95	0.15172	0.0	0.03134	0.017263	0.340366	0.025265	0.0	0.281599	0.086819	0.023989	0.006041	0.035597	
Sample_96	0.170577	0.0	0.058489	0.011746	0.285066	9e-06	0.009411	0.264274	0.065353	0.039674	0.009852	0.085548	
Sample_97	0.208667	0.013242	6.6e-05	1e-06	0.320735	7e-06	0.0	0.325964	0.03469	0.042533	0.016007	0.038088	
Sample_98	0.19954	0.010373	0.036163	1e-06	0.285218	7e-06	0.0	0.322027	0.057079	0.0322	0.005009	0.052382	
Sample_99	0.231668	1e-06	0.000244	0.027013	0.279102	2.1e-05	1e-06	0.283832	0.023946	0.052835	0.028742	0.072595	
Sample_100	0.253547	1e-06	0.028929	2e-06	0.318931	1.2e-05	0.002752	0.25381	0.056836	0.034038	0.007532	0.04361	
Sample_101	0.198363	0.004381	0.03267	1e-06	0.300733	0.028413	0.012943	0.253328	0.085434	0.024642	0.007701	0.051393	
Sample_102	0.209612	0.001336	0.071299	0.03473	0.292513	0.014478	0.0	0.221347	0.079776	0.018953	0.023917	0.032039	
Sample_103	0.253676	0.0	0.0225	0.004321	0.278473	6e-06	0.010227	0.23812	0.117636	0.023135	0.018044	0.033861	
Sample_104	0.202299	0.0	0.02026	0.035352	0.246883	0.042096	0.029078	0.210711	0.091123	0.064161	0.027148	0.030888	
Sample_105	0.171291	0.000967	0.027347	0.002065	0.277261	0.018976	0.006339	0.24071	0.159009	0.032341	0.025297	0.038397	
Sample_106	0.115735	0.0	0.000112	1e-06	0.312289	1e-05	0.0	0.276643	0.19139	0.043817	0.008972	0.05103	
