	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	
Sample_201	0.006786	0.061379	0.001384	0.127208	0.040331	4.2e-05	1e-06	0.29465	0.003343	0.262926	0.037874	0.164077	
Sample_202	0.003692	0.067537	0.000194	3e-06	0.040984	0.054108	1e-06	0.397295	0.012245	0.224221	0.080624	0.119096	
Sample_203	0.01983	0.036881	0.000247	0.044739	0.070521	3.2e-05	1e-06	0.375707	0.046394	0.213939	0.038564	0.153145	
Sample_204	0.005117	0.014688	0.000184	0.038632	0.065616	0.079879	1e-06	0.486267	0.002395	0.2128	0.041598	0.052823	
Sample_205	0.003271	1e-06	0.133292	0.255818	0.03994	2.9e-05	0.019285	0.189464	0.016681	0.192002	0.039304	0.11091	
Sample_206	0.157667	0.0	0.072473	0.002855	3.3e-05	0.013888	0.0	0.632602	0.070516	0.011865	0.009213	0.028889	
Sample_207	0.156183	0.004141	0.091325	1e-06	0.085497	8e-06	0.0	0.601939	0.034286	0.009052	0.005881	0.011688	
Sample_208	0.281866	0.005065	0.042838	0.022767	0.000108	9e-06	0.0	0.589286	0.033401	0.006042	0.007287	0.01133	
Sample_209	0.073553	0.0	0.0294	1e-06	0.173828	7e-06	0.0	0.688876	0.011271	0.002251	0.010794	0.010019	
Sample_210	0.001954	1e-06	0.005181	1e-06	0.036944	1.8e-05	0.147011	0.660437	0.003337	0.074612	0.019863	0.05064	
Sample_211	0.004404	1e-06	0.016145	2e-06	0.03281	0.010229	0.102734	0.594513	0.032606	0.098353	0.035198	0.073005	
Sample_212	0.008759	1e-06	0.029394	4e-06	0.045609	2.4e-05	0.075344	0.583734	0.001366	0.143329	0.05182	0.060615	
Sample_213	0.001077	0.0271	0.000127	3e-06	0.045391	1.3e-05	0.061736	0.633173	0.085925	0.069598	0.008479	0.067378	
Sample_214	0.000578	1e-06	5.7e-05	2e-06	0.054016	8e-06	0.133496	0.592337	0.000352	0.05487	0.023934	0.140351	
Sample_215	0.000877	1e-06	0.014265	0.019147	0.009648	7e-06	0.134524	0.633997	0.008305	0.052979	0.009995	0.116255	
Sample_216	0.011314	1e-06	0.000246	0.033359	0.066128	1.9e-05	0.079178	0.571285	0.014422	0.042468	0.021098	0.160483	
Sample_217	0.008373	1e-06	0.000198	0.021655	0.01644	1.3e-05	0.080482	0.616062	0.037814	0.026796	0.065685	0.126483	
Sample_218	0.156496	1e-06	0.000254	3e-06	0.000246	0.306199	0.022281	0.329663	0.0262	0.114366	0.038958	0.005333	
Sample_219	0.218379	1e-06	0.116903	3e-06	0.000256	0.251491	0.039549	0.219954	0.026105	0.1135	0.009656	0.004202	
Sample_220	0.270578	1e-06	0.127466	0.042468	0.00022	0.203992	1e-06	0.100961	0.056805	0.16061	0.00818	0.028717	
Sample_221	0.186391	0.00411	0.039481	0.0	0.036591	0.441514	0.0	0.057618	0.075675	0.031543	0.020441	0.106637	
Sample_222	0.188075	0.004739	0.045478	0.001539	0.033371	0.408892	0.0	0.051261	0.101575	0.036478	0.019094	0.109499	
Sample_223	0.143674	0.008662	0.078039	0.0	0.033258	0.425841	0.0	0.089767	0.093361	0.039771	0.014579	0.073047	
Sample_224	0.214569	0.0	3.9e-05	1e-06	0.028412	0.56235	0.0	0.059632	0.059171	0.022498	0.022472	0.030857	
Sample_225	0.001692	0.114816	0.000102	2e-06	0.030744	0.280857	0.0	0.139965	0.000756	0.230558	0.051135	0.149372	
Sample_226	0.00045	0.012433	3e-05	1e-06	0.012965	0.076217	0.004316	0.004779	0.05395	0.072881	0.748377	0.0136	
Sample_227	0.002883	0.313544	1.6e-05	0.133434	2e-05	0.009804	0.429647	0.03679	0.059256	0.007574	0.002867	0.004165	
Sample_228	0.000747	0.390713	0.017218	0.0	0.003348	2e-06	0.555471	0.013146	0.003815	0.007441	0.00349	0.004609	
Sample_229	0.001733	0.239973	0.057649	0.045624	0.005968	0.006184	0.569517	0.022692	0.038514	0.001751	1.2e-05	0.010383	
Sample_230	0.000818	0.239855	2.4e-05	0.031324	0.000853	2e-06	0.645684	0.038351	0.031195	0.005259	0.000978	0.005656	
Sample_231	0.00036	0.247475	0.017707	0.077463	0.011415	0.003161	0.514373	0.069245	0.039078	0.002464	0.001419	0.015841	
Sample_232	0.002559	0.177287	0.099665	0.059208	0.006186	0.014131	0.54824	0.022802	0.05514	0.01251	2.3e-05	0.002248	
Sample_233	0.004491	0.110294	1.7e-05	0.0	0.000475	2e-06	0.867856	0.014943	0.001347	0.000466	9e-06	0.000101	
Sample_234	0.015327	0.628008	2.5e-05	0.019837	0.005108	0.00516	0.261799	0.024	0.00393	0.01739	0.003477	0.015941	
Sample_235	0.000369	0.562257	1e-05	0.046812	0.003262	0.04487	0.247305	0.036077	0.034012	0.006047	0.005187	0.013793	
Sample_236	0.004612	0.590696	1e-05	0.00939	0.00226	0.022125	0.316628	0.024441	0.010847	0.005863	0.004649	0.008479	
Sample_237	0.00053	0.570344	0.015048	0.017059	0.013644	0.009037	0.322274	0.017726	0.025495	0.003696	4.4e-05	0.005103	
Sample_238	0.001602	0.521632	5.5e-05	0.043802	0.002498	0.039051	0.245493	0.098059	0.017308	0.029798	5.7e-05	0.000644	
Sample_239	0.010829	0.613816	7e-06	0.084828	0.005897	0.001925	0.207238	0.010922	0.027136	0.012785	0.010596	0.01402	
Sample_240	0.002648	0.690989	0.024308	0.058038	1.1e-05	0.008842	0.166575	0.00719	0.031119	0.004202	0.002746	0.00333	
Sample_241	0.000897	0.351815	0.048282	0.032866	0.003784	0.101318	0.37731	0.041757	0.030716	0.002985	0.00612	0.00215	
Sample_242	0.002537	0.411059	0.065332	2e-06	0.000823	0.055079	0.368621	0.086852	0.001763	0.000293	0.007121	0.000517	
Sample_243	0.005163	0.462145	1.9e-05	0.002786	0.0084	0.064352	0.408535	0.037205	0.001162	0.000183	0.001767	0.008285	
Sample_244	0.018575	0.410174	0.000197	0.053466	0.029197	0.056323	0.395125	0.018933	0.010367	0.004801	0.000151	0.002692	
Sample_245	0.005149	0.48526	0.032254	1e-06	0.006223	7e-06	0.374822	0.04444	0.00423	0.017408	0.003852	0.026355	
Sample_246	0.013354	0.538202	4e-05	1e-06	4.6e-05	4e-06	0.412915	0.009992	0.013445	0.007683	0.003936	0.00038	
Sample_247	0.000581	0.50647	0.004691	0.010551	0.001414	0.017208	0.365294	0.075272	0.013512	0.00468	3.4e-05	0.000294	
