	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	
Sample_1	0.0	0.0	0.0	0.819207	0.180793	
Sample_2	0.0	0.0	0.0	0.818669	0.181331	
Sample_3	0.0	0.0	0.017431	0.769757	0.212812	
Sample_4	0.0	0.0	0.118705	0.761719	0.119576	
Sample_5	0.0	0.0	0.0	1.0	0.0	
Sample_6	0.0	0.0	0.0	1.0	0.0	
Sample_7	0.0	0.0	0.0	1.0	0.0	
Sample_8	0.0	0.0	0.0	1.0	0.0	
Sample_9	0.0	0.0	0.0	1.0	0.0	
Sample_10	0.0	0.0	0.0	1.0	0.0	
Sample_11	0.0	0.0	0.0	1.0	0.0	
Sample_12	0.0	0.0	0.0	1.0	0.0	
Sample_13	0.0	0.0	0.0	1.0	0.0	
Sample_14	0.0	0.0	0.0	1.0	0.0	
Sample_15	0.0	0.0	0.0	1.0	0.0	
Sample_16	0.0	0.0	0.0	1.0	0.0	
Sample_17	0.0	0.0	0.0	1.0	0.0	
Sample_18	0.0	0.0	0.0	1.0	0.0	
Sample_19	0.0	0.0	0.0	1.0	0.0	
Sample_20	0.0	0.0	0.0	1.0	0.0	
Sample_21	0.0	0.0	0.0	1.0	0.0	
Sample_22	0.0	0.0	0.0	1.0	0.0	
Sample_23	0.0	0.0	0.0	1.0	0.0	
Sample_24	0.0	0.0	0.0	0.958625	0.041375	
Sample_25	0.0	0.0	0.073349	0.926651	0.0	
Sample_26	0.091595	0.0	0.0	0.908405	0.0	
Sample_27	0.0	0.0	0.0	0.879259	0.120741	
Sample_28	0.0	0.0	0.0	0.919153	0.080847	
Sample_29	0.0	0.242114	0.0	0.757886	0.0	
Sample_30	0.286877	0.0	0.0	0.713123	0.0	
Sample_31	0.340693	0.0	0.0	0.659307	0.0	
Sample_32	0.0	0.0	0.0	0.666074	0.333926	
Sample_33	0.0	0.0	0.0	0.659263	0.340737	
Sample_34	0.0	0.0	0.0	0.719612	0.280388	
Sample_35	0.0	0.0	0.093677	0.462981	0.443342	
Sample_36	0.0	0.0	0.414746	0.585254	0.0	
Sample_37	0.0	0.0	0.535049	0.464951	0.0	
Sample_38	1.0	0.0	0.0	0.0	0.0	
Sample_39	1.0	0.0	0.0	0.0	0.0	
Sample_40	1.0	0.0	0.0	0.0	0.0	
Sample_41	1.0	0.0	0.0	0.0	0.0	
Sample_42	0.810214	0.0	0.0	0.189786	0.0	
Sample_43	0.651327	0.0	0.0	0.348673	0.0	
Sample_44	0.53884	0.0	0.0	0.46116	0.0	
Sample_45	0.0	0.0	0.0	0.0	1.0	
Sample_46	0.0	0.0	0.0	0.0	1.0	
Sample_47	0.0	0.0	0.0	0.0	1.0	
Sample_48	0.0	0.0	0.0	0.0	1.0	
Sample_49	0.0	0.0	0.0	0.0	1.0	
Sample_50	0.0	0.0	0.0	0.0	1.0	
Sample_51	0.0	0.0	0.0	0.0	1.0	
Sample_52	0.0	0.0	0.0	0.156691	0.843309	
Sample_53	0.0	0.0	1.0	0.0	0.0	
Sample_54	0.0	0.0	1.0	0.0	0.0	
Sample_55	0.0	0.0	1.0	0.0	0.0	
Sample_56	0.0	0.0	1.0	0.0	0.0	
Sample_57	0.0	0.0	1.0	0.0	0.0	
Sample_58	0.0	0.0	1.0	0.0	0.0	
Sample_59	0.0	1.0	0.0	0.0	0.0	
Sample_60	0.0	1.0	0.0	0.0	0.0	
Sample_61	0.0	1.0	0.0	0.0	0.0	
Sample_62	0.0	1.0	0.0	0.0	0.0	
Sample_63	0.0	1.0	0.0	0.0	0.0	
Sample_64	0.0	1.0	0.0	0.0	0.0	
