	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	
Sample_1	0.013184	0.686962	0.0115	0.080934	0.20742	
Sample_2	9e-06	0.719324	7.2e-05	0.080173	0.200421	
Sample_3	6e-06	0.683361	0.061011	0.081937	0.173686	
Sample_4	0.006355	0.755315	0.046272	0.017608	0.174449	
Sample_5	0.022067	0.723239	0.05055	0.031871	0.172272	
Sample_6	0.080395	0.728346	0.012929	0.055985	0.122344	
Sample_7	0.063863	0.714952	0.028783	0.048027	0.144375	
Sample_8	6e-06	0.883554	0.056657	1.4e-05	0.059769	
Sample_9	5e-06	0.906606	0.041899	0.015783	0.035707	
Sample_10	0.01091	0.942451	3.7e-05	1.2e-05	0.046591	
Sample_11	0.038654	0.852612	0.077879	1.1e-05	0.030844	
Sample_12	0.021335	0.808462	0.017185	0.019414	0.133604	
Sample_13	0.039155	0.798078	0.04179	1.3e-05	0.120965	
Sample_14	0.023525	0.810557	0.056174	0.007578	0.102166	
Sample_15	0.019311	0.777073	0.078901	0.013739	0.110976	
Sample_16	0.040651	0.775036	0.041359	0.041431	0.101525	
Sample_17	0.030775	0.803698	0.03192	0.042252	0.091354	
Sample_18	5e-06	0.850287	0.018861	0.033028	0.09782	
Sample_19	0.007536	0.790198	0.065689	0.054632	0.081945	
Sample_20	0.018759	0.703963	0.145974	0.014455	0.116849	
Sample_21	7e-06	0.801374	0.172576	0.008909	0.017134	
Sample_22	6e-06	0.755281	0.032293	0.161295	0.051125	
Sample_23	4e-06	0.611621	0.036479	0.208548	0.143347	
Sample_24	3e-06	0.63355	0.283753	0.014867	0.067827	
Sample_25	3e-06	0.441466	0.033033	0.44086	0.084637	
Sample_26	3e-06	0.485897	0.071261	0.354639	0.0882	
Sample_27	0.022164	0.004425	0.007937	0.03711	0.928363	
Sample_28	0.020697	0.0001	0.012849	0.024733	0.941621	
Sample_29	1e-06	0.008224	0.002719	0.027579	0.961476	
Sample_30	0.011455	0.029753	0.00431	0.030665	0.923817	
Sample_31	0.017395	0.014097	0.004468	0.015514	0.948526	
Sample_32	0.027265	0.005712	2.5e-05	8e-06	0.96699	
Sample_33	1e-06	0.046021	0.032596	0.020245	0.901138	
Sample_34	0.014554	0.000107	0.107198	0.027489	0.850653	
Sample_35	3e-06	0.000142	0.392669	8e-06	0.607178	
Sample_36	2e-06	5.5e-05	0.99991	9e-06	2.4e-05	
Sample_37	3e-06	5.6e-05	0.999899	1.1e-05	3e-05	
Sample_38	3e-06	8.7e-05	0.999874	9e-06	2.7e-05	
Sample_39	1e-06	2.5e-05	0.999957	5e-06	1.2e-05	
Sample_40	1e-06	2.3e-05	0.999958	6e-06	1.2e-05	
Sample_41	2e-06	3e-05	0.99995	6e-06	1.2e-05	
Sample_42	2e-06	7e-05	0.980472	0.015198	0.004259	
Sample_43	6e-06	0.355137	0.466415	0.025315	0.153127	
Sample_44	0.279899	0.333907	0.219223	0.051142	0.115829	
Sample_45	0.447113	0.379514	0.014735	0.017929	0.140709	
Sample_46	0.832721	0.087671	0.021584	0.015723	0.042301	
Sample_47	0.839926	0.081955	0.022964	0.017479	0.037676	
Sample_48	0.863006	0.09477	0.002926	0.0032	0.036098	
Sample_49	0.898381	0.055443	0.01039	0.0141	0.021686	
Sample_50	0.901939	0.06079	0.008261	0.010061	0.018949	
Sample_51	0.901065	0.063138	0.004839	0.002544	0.028415	
Sample_52	0.881382	0.063759	0.015771	0.015796	0.023292	
Sample_53	0.879248	0.071896	0.013616	0.010203	0.025037	
Sample_54	0.871006	0.071219	0.025051	0.006383	0.026341	
Sample_55	0.866936	0.087004	0.024408	0.004557	0.017095	
Sample_56	0.8791	0.077569	0.022009	0.005628	0.015693	
Sample_57	0.936211	0.0396	0.004604	0.005564	0.014021	
Sample_58	0.932747	0.036672	0.008322	0.005356	0.016903	
Sample_59	0.943118	0.028107	0.002931	0.013627	0.012217	
Sample_60	0.908188	0.051968	0.001998	0.020944	0.016902	
Sample_61	0.908259	0.043767	0.004701	0.016717	0.026557	
Sample_62	0.911728	0.037112	0.006226	0.008154	0.03678	
Sample_63	0.878955	0.035313	0.057946	0.017342	0.010444	
Sample_64	0.811409	0.047745	0.022997	0.090227	0.027621	
Sample_65	0.79034	0.111057	0.025679	0.021285	0.051639	
Sample_66	0.781103	0.119318	0.02821	0.014252	0.057118	
Sample_67	0.75508	0.1748	0.022721	0.012938	0.034461	
Sample_68	1e-06	1.4e-05	0.01323	0.984377	0.002378	
Sample_69	1e-06	1.5e-05	0.013028	0.984573	0.002384	
Sample_70	1e-06	0.004446	0.001793	0.992209	0.001551	
Sample_71	2e-06	0.090859	0.006488	0.893739	0.008912	
