	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	
Sample_100	0.064865	0.040947	0.007601	0.699378	0.18721	
Sample_101	0.017957	0.0	0.017356	0.7348	0.229887	
Sample_102	0.012335	0.0	0.029107	0.729499	0.229057	
Sample_103	0.055775	0.057381	0.031793	0.645996	0.209055	
Sample_104	0.201326	0.003177	0.007878	0.751683	0.035936	
Sample_105	0.172426	0.012642	0.022061	0.733469	0.059402	
Sample_106	0.208172	0.0	9e-06	0.718481	0.073337	
Sample_107	0.161803	0.036271	1e-05	0.709595	0.09232	
Sample_108	0.153706	0.029786	8e-06	0.738743	0.077757	
Sample_109	0.171218	0.052045	0.007275	0.683145	0.086316	
Sample_110	0.147862	0.0	0.04234	0.710431	0.099366	
Sample_111	0.198027	0.067152	0.046973	0.637728	0.05012	
Sample_112	0.132923	0.01821	0.012409	0.668189	0.168269	
Sample_113	0.150952	0.0	9e-06	0.682374	0.166665	
Sample_114	0.151928	0.029033	0.020931	0.6619	0.136208	
Sample_115	0.128452	0.0	0.009891	0.720084	0.141573	
Sample_116	0.124223	1e-06	1.3e-05	0.737358	0.138405	
Sample_117	0.113916	0.0	0.023571	0.673269	0.189244	
Sample_118	0.101643	0.020946	0.047791	0.652281	0.177339	
Sample_119	0.149034	0.040317	0.048417	0.600537	0.161694	
Sample_120	0.1301	0.059177	0.050026	0.617377	0.143319	
Sample_121	0.353467	0.003615	3e-06	0.623258	0.019657	
Sample_122	0.362505	0.035402	0.009853	0.56242	0.029819	
Sample_123	0.359332	0.0	0.007857	0.549617	0.083193	
Sample_124	0.388774	0.015414	8e-06	0.499401	0.096403	
Sample_125	0.369982	0.046097	5e-06	0.481961	0.101955	
Sample_126	0.367544	0.014633	0.016265	0.469499	0.132059	
Sample_127	0.270957	1e-06	0.009127	0.620733	0.099182	
Sample_128	0.286589	0.024553	1.2e-05	0.597384	0.091462	
Sample_129	0.284278	0.025156	8e-06	0.568597	0.121962	
Sample_130	0.270586	0.008159	0.057431	0.59515	0.068674	
Sample_131	0.279726	0.0	0.025448	0.638038	0.056788	
Sample_132	0.263349	0.0	0.018044	0.684156	0.03445	
Sample_133	0.269099	0.006973	9e-06	0.686121	0.037798	
Sample_134	0.251717	0.0	0.005723	0.730986	0.011572	
Sample_135	0.24104	0.0	8e-06	0.667567	0.091385	
Sample_136	0.241188	0.0	0.004426	0.675656	0.078729	
Sample_137	0.281959	0.0	0.115409	0.495394	0.107237	
Sample_138	0.193682	0.058435	0.17088	0.4711	0.105903	
Sample_139	0.007348	0.031763	0.415117	0.456411	0.089361	
Sample_140	0.045562	0.0	0.378676	0.538148	0.037614	
Sample_141	0.116102	0.029818	0.337066	0.440717	0.076297	
Sample_142	0.078915	0.044614	0.223519	0.510211	0.142742	
Sample_143	0.006623	0.0	0.57936	0.410136	0.003881	
Sample_144	0.511428	0.006216	0.001942	0.480306	0.000108	
Sample_145	0.519076	0.00882	2e-06	0.467701	0.004401	
Sample_146	0.435474	0.011388	0.030006	0.463604	0.059529	
Sample_147	0.465008	0.039996	0.008412	0.383441	0.103142	
Sample_148	0.495552	0.050478	1.1e-05	0.398768	0.05519	
Sample_149	0.44338	0.071063	1.2e-05	0.430428	0.055117	
Sample_150	0.566597	0.002863	0.009872	0.388293	0.032375	
Sample_151	0.38281	0.02503	0.009253	0.360458	0.22245	
Sample_152	0.366379	0.018103	0.018216	0.345642	0.25166	
Sample_153	0.711319	0.0	0.029616	0.167793	0.091272	
Sample_154	0.620996	0.023423	0.034953	0.186662	0.133966	
Sample_155	0.686448	0.020335	7e-06	0.249545	0.043665	
Sample_156	0.706215	0.015974	6e-06	0.229729	0.048076	
Sample_157	0.650782	0.0	7e-06	0.274812	0.074399	
Sample_158	0.983325	0.0	5e-06	0.016299	0.000371	
Sample_159	0.983753	0.0	9e-06	0.013684	0.002553	
Sample_160	0.993171	0.001194	2e-06	0.005374	0.000259	
Sample_161	0.889363	0.037805	5e-06	0.008537	0.064291	
Sample_162	0.870811	0.032397	4e-06	0.095675	0.001112	
Sample_163	0.834343	0.019879	2e-06	0.144103	0.001673	
Sample_164	0.000477	0.0	0.002153	0.001471	0.995898	
Sample_165	0.000178	0.0	0.001263	0.000916	0.997642	
Sample_166	0.000129	0.00539	0.005256	0.026466	0.962759	
Sample_167	0.00178	0.042949	0.018155	0.010874	0.926242	
Sample_168	0.278379	0.0	9e-06	0.026433	0.695178	
Sample_169	0.015975	0.029911	0.016741	0.360224	0.577149	
Sample_170	0.130424	0.0	0.731801	0.135181	0.002594	
Sample_171	0.061004	0.0	0.703688	0.219045	0.016264	
Sample_172	0.000227	0.001163	0.995451	0.001921	0.001238	
Sample_173	0.321625	0.0	0.632273	0.045558	0.000544	
Sample_174	0.22407	0.0	0.564615	0.160247	0.051067	
Sample_175	3.5e-05	0.999721	0.0	0.000211	3.3e-05	
