	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	
Sample_65	0.146647	0.030849	0.161939	0.000534	0.625956	0.012046	7.2e-05	0.021957	
Sample_66	0.070515	0.021173	0.166449	0.010532	0.691461	0.005976	0.008739	0.025155	
Sample_67	0.016212	0.007935	0.027602	0.016227	0.813439	0.098368	1.7e-05	0.0202	
Sample_68	0.001677	0.817165	0.081444	0.018209	0.046812	0.02365	7e-05	0.010973	
Sample_69	0.000615	0.929338	0.058399	0.00011	0.005209	8e-06	0.006309	1.1e-05	
Sample_70	0.051031	0.77283	0.096	0.040245	0.006054	0.033585	0.000201	5.3e-05	
Sample_71	0.022473	0.663609	0.115537	0.060539	0.055343	0.027975	0.000111	0.054413	
Sample_72	0.044733	0.008938	0.069481	0.705852	0.016066	0.074926	0.066224	0.013779	
Sample_73	0.227109	0.002838	0.05162	0.63387	0.062924	0.009113	0.008247	0.00428	
Sample_74	0.243156	0.007285	0.029343	0.31767	0.04496	0.250929	0.097973	0.008684	
Sample_75	0.129796	0.008203	0.022245	0.278206	0.074347	0.138206	0.33744	0.011559	
Sample_76	0.150926	0.002981	0.013709	0.102965	0.023524	0.107456	0.591239	0.0072	
Sample_77	0.01793	0.001723	0.021748	0.024924	0.041129	0.694292	0.188548	0.009706	
Sample_78	0.044152	0.004843	0.017211	0.022821	0.020694	0.659174	0.21156	0.019545	
Sample_79	0.01577	0.003938	0.009485	0.066102	0.028468	0.727154	0.13686	0.012223	
Sample_80	0.077592	0.007685	0.024745	0.017966	0.004432	0.848891	0.008406	0.010282	
Sample_81	0.074991	0.009891	0.023779	0.00046	0.020917	0.839773	0.024946	0.005243	
Sample_82	0.030044	0.004867	0.01236	0.00739	0.058224	0.849522	0.034812	0.00278	
Sample_83	0.055127	0.001266	0.018985	0.002419	0.018807	0.834378	0.059319	0.0097	
Sample_84	0.028698	0.00324	0.011145	0.025661	0.009415	0.842281	0.07232	0.007241	
Sample_85	0.056464	0.004156	0.015067	0.010644	0.021034	0.795742	0.094481	0.002413	
Sample_86	0.020928	0.004992	0.012954	0.061439	0.02453	0.785445	0.080948	0.008764	
Sample_87	0.032291	0.001238	0.013398	0.000179	0.025712	0.575911	0.351256	1.4e-05	
Sample_88	0.033449	0.002963	0.008382	0.022226	0.056522	0.557281	0.311029	0.008149	
Sample_89	0.051486	0.002652	0.013012	0.004541	0.061343	0.602884	0.249849	0.014234	
