	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	
Sample_1	0.233547	0.114677	0.04428	0.072838	0.186073	0.348586	
Sample_2	0.18951	0.205236	0.0594	0.050688	0.206808	0.288358	
Sample_3	0.212854	0.274746	0.037157	0.003957	0.124791	0.346495	
Sample_4	0.4383	0.021978	0.030009	0.008585	0.164847	0.33628	
Sample_5	0.326821	0.092694	0.07139	0.010317	0.182797	0.31598	
Sample_6	0.338536	0.039006	0.056617	0.006352	0.087356	0.472131	
Sample_7	0.047331	0.045473	0.010359	0.003816	0.043991	0.84903	
Sample_8	0.23234	0.12856	0.138512	0.057546	0.397704	0.045337	
Sample_9	0.212842	0.134458	0.103491	0.050627	0.468562	0.03002	
Sample_10	0.192821	0.115543	0.097028	0.109744	0.389962	0.094903	
Sample_11	0.168106	0.092978	0.182441	0.093984	0.402095	0.060397	
Sample_12	0.229487	0.055695	0.07093	0.036892	0.547009	0.059986	
Sample_13	0.271168	0.110679	0.068857	0.043776	0.464087	0.041433	
Sample_14	0.274426	0.090563	0.056521	0.072276	0.441108	0.065105	
Sample_15	0.317629	0.12411	0.049799	0.030763	0.445477	0.032222	
Sample_16	0.267418	0.117382	0.088901	0.073545	0.393103	0.059651	
Sample_17	0.282289	0.118801	0.077465	0.05323	0.382145	0.08607	
Sample_18	0.26089	0.101017	0.050523	0.065827	0.4191	0.102643	
Sample_19	0.280348	0.085862	0.062937	0.058649	0.400794	0.11141	
Sample_20	0.24272	0.15158	0.033285	0.070641	0.41792	0.083856	
Sample_21	0.330015	0.057884	0.075702	0.039994	0.420638	0.075767	
Sample_22	0.318904	0.054374	0.062685	0.062568	0.421363	0.080106	
Sample_23	0.344389	0.044069	0.054853	0.06292	0.428704	0.065065	
Sample_24	0.345176	0.031871	0.05532	0.057229	0.428141	0.082262	
Sample_25	0.3148	0.055686	0.079379	0.08011	0.409408	0.060616	
Sample_26	0.30123	0.026197	0.078222	0.065816	0.428589	0.099946	
Sample_27	0.286582	0.038346	0.041968	0.062713	0.473367	0.097024	
Sample_28	0.342269	0.116217	0.092648	0.055814	0.355884	0.037168	
Sample_29	0.326685	0.10291	0.093702	0.091555	0.343893	0.041255	
Sample_30	0.30515	0.143259	0.109656	0.048678	0.359729	0.033528	
Sample_31	0.307288	0.097407	0.134405	0.028087	0.392123	0.04069	
Sample_32	0.244069	0.046304	0.166524	0.124464	0.331106	0.087533	
Sample_33	0.285039	0.065459	0.10078	0.117926	0.357191	0.073604	
Sample_34	0.274479	0.087127	0.024363	0.043797	0.360375	0.209859	
Sample_35	0.225668	0.081525	0.061371	0.0848	0.384989	0.161647	
Sample_36	0.184355	0.131382	0.053458	0.030035	0.338363	0.262406	
