	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_46	0.0	0.0	1e-06	0.0	0.0	0.051908	0.0	1.1e-05	0.158331	1e-06	0.270475	0.295368	0.223904	
Sample_47	0.034246	0.0	0.00165	0.0	0.0	0.065555	0.0	1.7e-05	0.131978	1e-06	0.351397	0.241289	0.173867	
Sample_48	0.027223	0.0	0.016464	0.0	0.0	1e-06	0.0	0.000307	0.104948	3e-06	0.41582	0.228648	0.206586	
Sample_49	0.0	0.0	0.017462	0.0	0.0	1e-06	0.079653	0.078954	0.138814	2e-06	0.292909	0.225115	0.167091	
Sample_50	0.0	0.0	0.023459	0.0	0.0	1e-06	0.095292	0.013112	0.140109	3e-06	0.393609	0.136889	0.197524	
Sample_51	0.0	0.0	0.002135	0.0	0.0	0.0	0.036458	0.01486	0.180122	0.066622	0.281845	0.145366	0.272592	
Sample_52	0.0	0.0	0.012081	0.0	0.045054	0.0	0.0	0.064485	0.15056	0.021168	0.257541	0.171578	0.277534	
Sample_53	0.0	0.0	0.019378	0.0	0.0	0.075395	0.0	2.9e-05	0.160293	2e-06	0.322866	0.180953	0.241085	
Sample_54	0.01016	0.0	0.026206	0.0	0.0	0.086787	0.0	3.8e-05	0.202754	3e-06	0.313188	0.153132	0.207732	
Sample_55	0.025567	0.0	0.003114	0.0	0.0	0.083917	0.0	0.017251	0.139684	0.055491	0.292468	0.128603	0.253905	
Sample_56	0.0	0.0	0.071261	0.0	0.0	0.171941	0.0	0.103706	0.174375	3e-06	0.164457	0.07963	0.234626	
Sample_57	0.032013	0.0	0.008941	0.0	0.0	0.167117	0.028766	0.038698	0.165314	0.106811	0.157276	0.063704	0.231361	
Sample_58	0.0	0.0	0.005353	0.0	0.0	0.093896	0.027144	2.9e-05	0.290638	3e-06	0.285413	0.043139	0.254386	
Sample_59	0.0	0.0	1e-06	0.0	0.002099	0.0	0.0	0.008469	0.083002	0.024837	0.033911	0.731953	0.115728	
Sample_60	0.0	0.0	0.004308	0.0	0.0	0.0	0.0	0.00728	0.121623	0.067764	0.027334	0.68946	0.082232	
Sample_61	0.0	0.0	1e-06	0.0	0.0	0.0	0.0	0.006647	0.194416	0.017774	0.033692	0.707855	0.039614	
