	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	
Sample_75	0.061192	0.147474	0.069525	0.038887	0.584837	0.08275	0.015335	
Sample_76	0.042465	0.084075	0.079505	0.059489	0.602924	0.056985	0.074557	
Sample_77	0.123849	0.149025	0.056431	0.053818	0.553265	0.025558	0.038055	
Sample_78	0.10916	0.152982	0.105364	0.061617	0.514982	0.035309	0.020587	
Sample_79	0.025285	0.24773	0.037629	0.032973	0.553633	0.041721	0.061028	
Sample_80	0.038292	0.200027	0.06497	0.029858	0.539602	0.041071	0.086179	
Sample_81	0.055426	0.219349	0.08279	0.012846	0.490756	0.029931	0.108902	
Sample_82	0.062857	0.212214	0.020983	0.072467	0.592712	1e-06	0.038766	
Sample_83	0.091001	0.194203	0.053422	0.027168	0.591884	3e-06	0.04232	
Sample_84	0.099875	0.203421	0.045417	0.055717	0.522005	1e-06	0.073564	
Sample_85	0.084698	0.18253	0.068886	0.038058	0.534787	0.035025	0.056016	
Sample_86	0.071914	0.198703	0.074447	0.030704	0.53605	0.031809	0.056373	
Sample_87	0.082167	0.190939	0.046855	0.048473	0.523371	0.051101	0.057093	
Sample_88	0.074257	0.189663	0.050683	0.03574	0.538434	0.056926	0.054297	
Sample_89	0.078893	0.220258	0.052254	0.050877	0.515832	0.04725	0.034634	
Sample_90	0.037562	0.165822	0.061277	0.063846	0.583679	2e-06	0.087812	
Sample_91	0.050294	0.206209	0.063297	0.056169	0.557696	1e-06	0.066332	
Sample_92	0.057647	0.173859	0.066565	0.140528	0.460948	0.054034	0.046419	
Sample_93	0.030221	0.18437	0.075387	0.161541	0.454692	0.038321	0.055468	
Sample_94	0.044041	0.180397	0.069133	0.099332	0.507203	0.051815	0.04808	
Sample_95	0.044907	0.175386	0.066564	0.106066	0.519951	0.058533	0.028593	
Sample_96	0.056689	0.219197	0.03478	0.116361	0.508376	2e-06	0.064595	
Sample_97	0.057552	0.207996	0.046409	0.117117	0.507512	2e-06	0.063414	
Sample_98	0.038556	0.197836	0.026585	0.089853	0.528767	0.020203	0.098201	
Sample_99	0.065501	0.169224	0.006912	0.140033	0.578325	1e-06	0.040002	
Sample_100	0.07897	0.15843	0.009352	0.131213	0.566262	0.027009	0.028764	
Sample_101	0.076706	0.085835	0.020453	0.03553	0.743097	0.024726	0.013654	
Sample_102	0.04801	0.125698	0.068115	0.205624	0.468984	0.03509	0.048479	
Sample_103	0.032629	0.134901	0.057286	0.203741	0.496096	0.043684	0.031663	
Sample_104	0.05725	0.114753	0.048235	0.205524	0.510956	0.018926	0.044355	
Sample_105	0.073885	0.14238	0.024164	0.181125	0.50362	0.034481	0.040346	
Sample_106	0.030002	0.117059	0.009646	0.129534	0.526581	0.122859	0.064319	
Sample_107	0.040082	0.364914	0.024266	0.031266	0.447457	0.055682	0.036334	
Sample_108	0.054621	0.340147	0.048182	0.033364	0.428757	0.059628	0.035301	
Sample_109	0.077415	0.346597	0.029171	0.054929	0.395041	0.073515	0.023332	
Sample_110	0.085109	0.301099	0.060445	0.043159	0.444122	0.047438	0.018628	
Sample_111	0.054489	0.340017	0.055711	0.057176	0.453757	1e-06	0.03885	
Sample_112	0.060606	0.343735	0.061387	0.059285	0.444036	1e-06	0.030949	
Sample_113	0.038612	0.368577	0.022115	0.060864	0.502944	3e-06	0.006885	
Sample_114	0.080151	0.331516	0.026225	0.076141	0.449111	0.027449	0.009407	
Sample_115	0.066844	0.356253	0.058099	0.092318	0.406023	2e-06	0.020461	
Sample_116	0.071054	0.301351	0.11571	0.098633	0.383302	3e-06	0.029946	
Sample_117	0.096713	0.295392	0.033016	0.057133	0.455151	1e-06	0.062593	
Sample_118	0.088454	0.306869	0.058904	0.042773	0.463472	0.003072	0.036457	
Sample_119	0.08175	0.311841	0.061486	0.063371	0.429873	3e-06	0.051677	
Sample_120	0.095023	0.295861	0.053195	0.081763	0.427162	1e-06	0.046994	
Sample_121	0.064806	0.271446	0.074518	0.067659	0.446977	2e-06	0.074591	
Sample_122	0.082115	0.264454	0.072424	0.08996	0.414752	2e-06	0.076293	
