	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	
Sample_41	0.002258	0.255088	0.015132	0.065308	0.044225	0.054694	0.027167	0.039675	0.000191	0.015181	0.223476	0.257605	0.0	0.0	
Sample_42	0.027454	0.193861	0.241198	0.021999	0.1485	0.047163	0.016284	0.062171	0.014586	0.018034	0.064772	0.130016	0.013961	0.0	
Sample_43	0.01248	0.286433	0.308556	0.045778	0.077139	0.037157	0.001744	0.093506	0.045325	0.019749	0.068914	0.0	0.0	0.003219	
Sample_44	0.023305	0.284064	0.07114	0.293918	0.068457	0.006407	0.079226	0.02622	0.008345	0.029673	0.032608	0.076637	0.0	0.0	
Sample_45	0.035939	0.0	0.199129	0.121499	0.206301	0.02494	0.085155	0.047475	0.030512	0.023306	0.225743	0.0	0.0	0.0	
Sample_46	0.049048	0.0	0.150356	0.069246	0.266805	0.043724	0.021884	0.086208	0.032743	0.017348	0.253706	0.0	0.0	0.008931	
Sample_47	0.037593	0.0	0.104043	0.088322	0.240595	0.094645	0.080818	0.077121	0.02165	0.007854	0.236347	0.0	0.0	0.011012	
Sample_48	0.017638	0.0	0.088759	0.097491	0.226879	0.145069	0.092856	0.069011	0.01654	0.025337	0.220421	0.0	0.0	0.0	
Sample_49	0.028475	0.0	0.108566	0.137448	0.230909	0.19836	0.012876	0.01766	0.031992	0.046291	0.187423	0.0	0.0	0.0	
Sample_50	0.014306	0.0	0.214236	0.087861	0.169881	0.049904	0.020345	0.091006	0.030246	0.014881	0.307333	0.0	0.0	0.0	
Sample_51	0.016988	0.0	0.202385	0.067082	0.161365	0.029202	0.051149	0.09204	0.04175	0.007982	0.320168	0.0	0.009889	0.0	
Sample_52	0.016859	0.0	0.248148	0.058671	0.146697	0.022516	0.011446	0.10203	0.01639	0.00483	0.360992	0.0	0.0	0.011421	
Sample_53	0.023266	0.0	0.18318	0.071494	0.153583	0.016018	0.090708	0.07927	0.019166	0.007173	0.342441	0.0	0.013703	0.0	
Sample_54	0.015404	0.0	0.209201	0.087585	0.145833	0.03853	0.013226	0.0501	0.021393	0.015991	0.402737	0.0	0.0	0.0	
Sample_55	0.00271	0.0	0.208748	0.098566	0.148294	0.012223	0.030395	0.029655	0.025158	0.026414	0.417837	0.0	0.0	0.0	
Sample_56	0.020079	0.0	0.220879	0.082616	0.16199	0.070461	0.008808	0.026668	0.014649	0.012772	0.38108	0.0	0.0	0.0	
Sample_57	0.011526	0.0	0.188137	0.06945	0.177838	0.02564	0.030862	0.067257	0.029853	0.005731	0.393706	0.0	0.0	0.0	
Sample_58	0.016982	0.0	0.218946	0.07494	0.165103	0.001621	0.005787	0.082099	0.021532	0.013638	0.399354	0.0	0.0	0.0	
Sample_59	0.031334	0.0	0.205166	0.084556	0.174017	0.033522	0.012542	0.062644	0.037967	0.014309	0.343943	0.0	0.0	0.0	
Sample_60	0.040094	0.0	0.157316	0.084869	0.153643	0.018562	0.00145	0.08353	0.027543	0.016371	0.416622	0.0	0.0	0.0	
Sample_61	0.020719	0.0	0.170952	0.152309	0.150183	0.0198	0.004096	0.078669	0.025758	0.023611	0.353903	0.0	0.0	0.0	
Sample_62	0.015184	0.0	0.190207	0.138456	0.158141	0.030491	0.024155	0.052412	0.030222	0.014121	0.346612	0.0	0.0	0.0	
Sample_63	0.027456	0.0	0.232222	0.016822	0.19213	0.074162	0.007182	0.053957	0.023422	0.026563	0.346083	0.0	0.0	0.0	
Sample_64	0.029387	0.0	0.116442	0.050904	0.178132	0.019673	0.033354	0.110841	0.017163	0.013378	0.421884	0.0	0.008842	0.0	
Sample_65	0.017528	0.0	0.152187	0.00952	0.172268	0.032753	0.029377	0.102868	0.01474	0.014064	0.441472	0.0	0.013222	0.0	
Sample_66	0.025915	0.0	0.151183	0.014689	0.224842	0.038859	0.000533	0.10532	0.021834	0.013557	0.403268	0.0	0.0	0.0	
Sample_67	0.01036	0.0	0.197172	0.035696	0.123601	0.027271	0.062726	0.067715	0.019567	0.011887	0.444005	0.0	0.0	0.0	
Sample_68	0.042129	0.0	0.165146	0.10894	0.167367	0.074387	0.042978	0.08199	0.011776	0.017359	0.287928	0.0	0.0	0.0	
Sample_69	0.00833	0.0	0.14808	0.077358	0.193688	0.096885	0.01668	0.058001	0.019824	0.029858	0.351298	0.0	0.0	0.0	
Sample_70	0.018572	0.0	0.138331	0.163833	0.189098	0.033397	0.002089	0.0632	0.031967	0.029283	0.311698	0.0	0.018533	0.0	
Sample_71	0.0339	0.0	0.147598	0.138153	0.200422	0.045569	0.035754	0.06268	0.030822	0.015986	0.289116	0.0	0.0	0.0	
Sample_72	0.009673	0.0	0.111823	0.169418	0.224283	0.009294	0.016689	0.077537	0.019069	0.025703	0.322843	0.0	0.0	0.013668	
Sample_73	0.041948	0.0	0.105289	0.137965	0.172434	0.066549	0.041644	0.072635	0.022735	0.023218	0.315584	0.0	0.0	0.0	
Sample_74	0.029792	0.074044	0.090035	0.133259	0.119058	0.038975	0.046604	0.073249	0.01254	0.01917	0.342136	0.010639	0.010499	0.0	
Sample_75	0.041458	0.0	0.115642	0.046057	0.137203	0.039074	0.035215	0.012847	0.018752	0.020329	0.526288	0.0	0.0	0.007135	
Sample_76	0.098449	0.0	0.043278	0.008037	0.183045	0.034167	0.033465	0.142973	0.010873	0.022411	0.408293	0.0	0.015008	0.0	
Sample_77	0.033684	0.0	0.264458	0.116977	0.188063	0.039922	0.085044	0.074795	0.018805	0.046536	0.131716	0.0	0.0	0.0	
Sample_78	0.01881	0.0	0.278138	0.08534	0.155162	0.028393	0.090279	0.102866	0.038515	0.055252	0.147245	0.0	0.0	0.0	
Sample_79	0.012201	0.0	0.359916	0.097526	0.182957	0.063704	0.065598	0.047586	0.045144	0.012779	0.103241	0.0	0.0	0.009349	
Sample_80	0.055441	0.0	0.264757	0.130109	0.203431	0.036303	0.019507	0.109346	0.028173	0.069802	0.083131	0.0	0.0	0.0	
Sample_81	0.012599	0.0	0.324639	0.021897	0.158764	0.034259	0.177268	0.064159	0.024171	0.006424	0.17582	0.0	0.0	0.0	
Sample_82	0.017848	0.0	0.26488	0.115219	0.12221	0.023877	0.094185	0.036953	0.000536	0.034693	0.2896	0.0	0.0	0.0	
Sample_83	0.006336	0.0	0.221797	0.202939	0.080424	0.04431	0.066946	0.05222	0.024698	0.014566	0.277655	0.001887	0.0	0.006222	
Sample_84	0.03416	0.0	0.254251	0.178468	0.132396	0.020741	0.044811	0.101727	0.022987	0.026431	0.184027	0.0	0.0	0.0	
Sample_85	0.024529	0.0	0.234679	0.139292	0.116723	0.020772	0.121392	0.101067	0.023338	0.020582	0.181652	0.0	0.015974	0.0	
Sample_86	0.044843	0.0	0.144141	0.142034	0.134696	0.103279	0.061096	0.1001	0.03004	0.046123	0.193649	0.0	0.0	0.0	
Sample_87	0.023571	0.0	0.152477	0.155833	0.116188	0.094719	0.129714	0.060525	0.041296	0.03503	0.185237	0.0	0.0	0.00541	
Sample_88	0.030466	0.0	0.221699	0.129323	0.116927	0.107456	0.04876	0.081444	0.019375	0.027561	0.216989	0.0	0.0	0.0	
Sample_89	0.024078	0.0	0.245686	0.117445	0.117438	0.138519	0.035078	0.02732	0.047352	0.019688	0.227396	0.0	0.0	0.0	
Sample_90	0.013893	0.0	0.188365	0.100668	0.139808	0.08899	0.085422	0.06647	0.025528	0.045659	0.245197	0.0	0.0	0.0	
Sample_91	0.077524	0.0	0.24089	0.071867	0.18218	0.001176	0.031418	0.109547	0.020069	0.021114	0.244215	0.0	0.0	0.0	
Sample_92	0.005116	0.0	0.207568	0.087752	0.187724	0.049313	0.028917	0.136883	0.010578	0.009861	0.260966	0.0	0.0	0.015324	
Sample_93	0.021126	0.0	0.24947	0.082156	0.155598	0.061761	0.036037	0.116635	0.044211	0.025076	0.207931	0.0	0.0	0.0	
Sample_94	0.00887	0.0	0.278408	0.085938	0.140989	0.031397	0.051719	0.106103	0.026325	0.026243	0.205196	0.0	0.038811	0.0	
Sample_95	0.035493	0.0	0.292141	0.041865	0.122053	0.063823	0.036909	0.093407	0.019172	0.01988	0.244828	0.0	0.030429	0.0	
Sample_96	0.03479	0.0	0.257469	0.040425	0.161616	0.046435	0.100651	0.078937	0.020284	0.011752	0.247641	0.0	0.0	0.0	
Sample_97	0.063697	0.0	0.267913	0.025858	0.157058	0.010765	0.011599	0.070007	0.039124	0.087031	0.266949	0.0	0.0	0.0	
Sample_98	0.047595	0.0	0.135416	0.269038	0.167255	0.01268	0.164213	0.041544	0.029962	0.018026	0.090427	0.0	0.023844	0.0	
Sample_99	0.052057	0.034948	0.082039	0.267584	0.100004	0.028453	0.147082	0.017046	0.023989	0.02606	0.188405	0.006016	0.012459	0.013858	
Sample_100	0.012047	0.0	0.212918	0.251178	0.180062	0.074502	0.03299	0.040252	0.028754	0.026541	0.130558	0.0	0.0	0.010198	
Sample_101	0.045829	0.0	0.19232	0.251915	0.194083	0.05956	0.054752	0.012938	0.030162	0.096891	0.061548	0.0	0.0	0.0	
Sample_102	0.04602	0.0	0.093554	0.056129	0.474769	0.177951	0.000722	0.014098	0.03316	0.062354	0.041244	0.0	0.0	0.0	
Sample_103	0.024846	0.0	0.070278	0.125918	0.362652	0.188679	0.030451	0.015838	0.017021	0.033673	0.109204	0.0	0.021441	0.0	
Sample_104	0.015148	0.0	0.03746	0.007763	0.729626	0.107153	0.035188	0.020775	0.006852	0.004885	0.023779	0.0	0.011371	0.0	
Sample_105	0.013715	0.073516	0.153319	0.029893	0.409366	0.073004	0.002929	0.058462	0.009385	0.008302	0.165159	0.0	0.0	0.002951	
Sample_106	0.071781	0.0	0.09549	0.156883	0.096476	0.075039	0.225928	0.055108	0.030576	0.094815	0.090323	0.0	0.0	0.007582	
Sample_107	0.031637	0.0	0.084546	0.09279	0.160128	0.007591	0.224608	0.046632	0.027772	0.096242	0.228055	0.0	0.0	0.0	
Sample_108	0.017277	0.0	0.210687	0.088823	0.129163	0.00754	0.305837	0.069107	0.03275	0.013243	0.125574	0.0	0.0	0.0	
Sample_109	0.015216	0.0	0.040632	0.035281	0.065608	0.021007	0.662454	0.028037	0.010496	0.008458	0.100833	0.0	0.0	0.011979	
Sample_110	0.021804	0.0	0.111048	0.067153	0.0956	0.074068	0.48535	0.073612	0.011853	0.012294	0.035727	0.0	0.0	0.011491	
Sample_111	0.031767	0.0	0.0125	0.101305	0.007619	0.374413	0.316779	0.076537	0.016571	0.02119	0.027959	0.0	0.0	0.013359	
Sample_112	0.010577	0.009314	0.006439	0.005707	0.004888	0.000528	0.006573	0.001786	0.944794	0.000255	0.00914	0.0	0.0	0.0	
Sample_113	0.005557	0.0	0.007101	0.003873	0.023759	0.000667	0.028574	0.007165	0.002627	0.004941	0.017241	0.0	0.892183	0.006312	
