	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	
Sample_83	0.136206	0.010036	0.016176	0.05752	0.058886	0.721177	
Sample_84	0.136025	0.027965	0.016587	0.053343	0.056076	0.710005	
Sample_85	0.157932	0.005583	0.020305	0.043282	0.046473	0.726425	
Sample_86	0.124547	0.004644	0.022706	0.069664	0.035749	0.74269	
Sample_87	0.089125	0.0112	0.004865	0.054092	0.095044	0.745674	
Sample_88	0.082858	0.006556	0.032157	0.038667	0.102597	0.737164	
Sample_89	0.105764	0.010023	0.019668	0.02389	0.074437	0.766218	
Sample_90	0.105989	3.5e-05	0.025537	0.035244	0.076986	0.756209	
Sample_91	0.088337	3e-05	0.038992	0.030181	0.081351	0.761109	
Sample_92	0.099582	0.013983	0.036278	0.041411	0.05423	0.754516	
Sample_93	0.121287	0.020244	0.014132	0.034052	0.107354	0.702931	
Sample_94	0.079838	0.02213	0.029519	0.003752	0.091001	0.77376	
Sample_95	0.053392	3.3e-05	0.016387	0.00057	0.120482	0.809136	
Sample_96	0.128607	5.7e-05	0.00639	0.000324	0.048447	0.816175	
Sample_97	0.09284	2.7e-05	0.011554	0.008345	0.058512	0.828722	
Sample_98	0.131072	0.035148	0.004067	0.0138	0.061288	0.754625	
Sample_99	0.076858	0.022677	0.007876	0.035937	0.049752	0.8069	
Sample_100	0.081068	0.051123	0.001477	0.02499	0.04715	0.794192	
Sample_101	0.190308	0.018142	0.012143	0.019018	0.005566	0.754824	
Sample_102	0.058182	2.8e-05	0.065157	0.05167	0.031598	0.793366	
Sample_103	0.067863	0.002799	0.072092	0.044456	0.044016	0.768774	
Sample_104	0.067654	1.7e-05	0.04918	0.048875	0.045427	0.788847	
Sample_105	0.073808	3.3e-05	0.020684	0.083676	0.043718	0.77808	
Sample_106	0.068407	5.1e-05	0.006353	0.060505	0.009069	0.855615	
Sample_107	0.087037	0.006292	0.012584	0.049015	0.019816	0.825256	
Sample_108	0.045494	2.1e-05	0.017215	0.036941	0.000859	0.899471	
Sample_109	0.06837	3.7e-05	0.026796	0.005583	0.029779	0.869436	
Sample_110	0.005418	0.019847	0.057305	0.016611	0.061095	0.839724	
Sample_111	0.006616	0.028009	0.040871	0.01951	0.046937	0.858057	
Sample_112	0.002424	0.051902	0.030077	0.022101	0.047011	0.846485	
Sample_113	0.019634	0.023999	0.01248	0.032957	0.043393	0.867536	
Sample_114	0.016522	0.03394	0.021091	0.050209	0.034522	0.843716	
Sample_115	5.6e-05	0.01417	0.058202	0.055302	0.049671	0.822599	
Sample_116	0.003059	0.004572	0.049862	0.054506	0.035688	0.852313	
Sample_117	0.007723	3.2e-05	0.055355	0.034092	0.028648	0.874151	
Sample_118	0.020644	0.023722	0.043322	0.064604	0.049279	0.79843	
