	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	
Sample_49	0.0	0.021355	0.514901	0.304104	0.0	0.0	1.4e-05	0.0	0.151866	0.007613	0.000148	0.0	
Sample_50	0.0	0.177395	0.275047	0.151312	0.070754	0.0	1.2e-05	0.0	0.155731	0.115507	0.054243	0.0	
Sample_51	0.0	0.227323	0.237765	0.202226	0.0	0.005562	0.007304	0.0	0.167521	0.136126	0.016173	0.0	
Sample_52	0.0	0.209198	0.357848	0.119689	0.0	0.076551	0.008721	0.0	0.08937	0.124969	0.013654	0.0	
Sample_53	0.0	0.002135	0.239114	0.19687	0.0	0.019258	0.00293	0.0	0.367146	0.067052	0.105494	0.0	
Sample_54	0.0	0.001211	0.193871	0.489145	0.0	0.0	0.069668	0.0	0.108881	0.102297	0.034928	0.0	
Sample_55	0.014682	0.070849	0.146517	0.404974	0.0	0.0	0.005575	0.0	0.189664	0.04854	0.119199	0.0	
Sample_56	0.0	0.194727	0.689642	0.002031	0.0	0.0	2e-06	0.0	0.073337	0.013049	0.027211	0.0	
Sample_57	0.0	0.138154	0.709473	0.033553	0.0	0.0	0.005335	0.0	0.039433	0.01944	0.054611	0.0	
Sample_58	0.0	0.127291	0.724642	0.113227	0.0	0.0	2e-06	0.0	0.006966	0.013563	0.014309	0.0	
Sample_59	0.007387	0.238491	0.472279	0.000981	0.0	0.0	0.01201	0.159744	0.030855	0.061128	0.017125	0.0	
Sample_60	0.0	0.000473	0.108887	0.120515	0.0	0.0	0.019744	0.0	0.241494	0.043531	0.465357	0.0	
Sample_61	0.015109	0.000557	0.166831	0.219203	0.0	0.0	0.002686	0.0	0.242576	0.059999	0.293039	0.0	
Sample_62	0.0	0.098973	0.326708	0.02809	0.0	0.011564	0.011072	0.0	0.150726	0.016464	0.356404	0.0	
Sample_63	0.0	0.103822	0.105142	0.00279	0.0	0.0	0.015292	0.0	0.590612	0.022693	0.15965	0.0	
Sample_64	0.0	0.028093	0.09107	0.003006	0.0	0.0	0.007745	0.0	0.600466	0.014085	0.255536	0.0	
Sample_65	0.0	0.000263	0.003092	0.005738	0.0	0.047542	0.003064	0.0	0.84221	0.000592	1.7e-05	0.097482	
Sample_66	0.035521	0.238522	0.038185	0.078898	0.092422	0.174126	0.0	0.101859	0.027059	0.012645	0.0366	0.164162	
Sample_67	0.0	0.697117	0.065743	0.121003	0.0	0.073486	0.000322	0.0	0.012057	0.006963	0.023309	0.0	
Sample_68	0.016187	0.021247	0.024046	0.29101	0.122946	0.384074	0.000493	0.063978	0.011034	0.008183	0.017184	0.039619	
Sample_69	0.012865	0.195822	0.043703	0.196978	0.028161	0.417806	0.000335	0.0	0.032523	0.015279	0.056525	0.0	
Sample_70	0.20222	0.10193	0.059667	0.095498	0.268477	0.077581	0.003078	0.041875	0.020767	0.013745	0.048551	0.066611	
Sample_71	0.1287	0.149203	0.131053	0.000979	0.240844	0.034687	0.001041	0.245057	0.005582	0.01098	0.012619	0.039255	
Sample_72	0.0	0.0011	0.086285	0.018386	0.0	0.159929	0.001645	0.0	0.035557	0.696991	0.000105	0.0	
Sample_73	0.0	0.000697	0.009274	0.001677	0.0	0.012078	0.786478	0.0	0.044297	0.14541	8.9e-05	0.0	
Sample_74	0.0	0.001106	0.130031	0.021	0.0	0.015613	0.68414	0.0	0.005401	0.142604	0.000107	0.0	
Sample_75	0.0	0.005435	0.016535	0.014385	0.0	0.0	0.962319	0.0	0.000962	0.000341	2.3e-05	0.0	
Sample_76	0.0	0.001212	0.095247	0.003291	0.0	0.020865	0.549136	0.0	0.055122	0.275024	0.000104	0.0	
Sample_77	0.035197	0.004211	0.006557	0.009743	0.070851	0.07013	0.00024	0.159042	0.019055	0.012206	0.013263	0.599505	
Sample_78	0.034887	0.002473	0.024081	0.010155	0.038791	0.038923	0.0	0.237063	0.01139	0.017055	0.007414	0.577769	
Sample_79	0.0	0.053309	0.030594	0.000778	0.0	0.04263	0.000963	0.177225	0.006672	0.030556	0.016374	0.640899	
Sample_80	0.165448	0.000411	0.019519	0.008916	0.003539	0.040693	0.000639	0.012365	0.049045	0.008038	0.003896	0.687492	
Sample_81	0.245691	0.031598	0.031107	0.003957	0.0	0.0	0.004662	0.213499	0.012874	0.015688	1.4e-05	0.440909	
Sample_82	0.233402	0.021584	0.037378	0.003111	0.0	0.0	0.002268	0.200535	0.012343	0.010365	3.5e-05	0.47898	
Sample_83	0.164298	0.000222	0.062432	0.015149	0.0	0.0	2e-06	0.278177	0.008535	0.006869	1.4e-05	0.464303	
Sample_84	0.071259	0.004316	0.038332	0.010311	0.063886	0.027767	0.0	0.305529	0.045278	0.00866	0.000732	0.423931	
Sample_85	0.006467	0.015168	0.001909	0.010487	0.09748	0.056392	0.00061	0.276893	0.025305	0.014588	0.014631	0.480071	
Sample_86	0.024252	0.013592	0.066365	0.005832	0.08038	0.016308	0.00063	0.400138	0.021051	0.016403	0.00845	0.3466	
Sample_87	0.348309	0.040506	0.003687	0.007223	0.081627	0.020496	0.001366	0.11295	0.026225	0.006322	0.020107	0.331182	
Sample_88	0.391166	0.041334	0.00719	0.003061	0.053411	0.0	2e-06	0.138578	0.023747	0.021599	0.015412	0.304502	
Sample_89	0.478195	0.01868	0.034931	0.000683	0.0	0.0	4e-06	0.19238	0.007728	0.026506	2.8e-05	0.240867	
