	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	
Sample_53	0.013931	0.476007	0.005108	0.006819	0.0	0.0	0.166499	0.01181	0.000966	0.168128	0.074221	0.076511	
Sample_54	0.012359	0.448657	0.003807	0.0	0.0	0.003053	0.226084	0.0048	0.0	0.219858	0.078983	0.0024	
Sample_55	0.018022	0.454385	0.005916	0.0	0.0	0.0	0.207046	0.0	0.0	0.243958	0.060837	0.009837	
Sample_56	0.019139	0.482871	0.014198	0.0	0.0	0.006384	0.238545	0.0	0.0	0.192412	0.046451	0.0	
Sample_57	0.0	0.250386	0.053652	0.0	0.0	0.0	0.057402	0.0	0.0	0.56471	0.073851	0.0	
Sample_58	0.0	0.302794	0.0	0.0	0.0	0.001127	0.04566	0.013942	0.0	0.585556	0.050921	0.0	
Sample_59	0.016795	0.273375	0.0	0.0	0.0	0.003206	0.117588	0.0	0.0	0.49786	0.054662	0.036514	
Sample_60	0.0	0.389308	0.0	0.0	0.0	0.0	0.064036	0.0	0.003832	0.511386	0.025194	0.006245	
Sample_61	0.0	0.358317	0.004233	0.0	0.0	0.0	0.068116	0.0	0.001741	0.518579	0.03934	0.009675	
Sample_62	0.011368	0.365803	0.0	0.0	0.0	0.0	0.084308	0.0	0.0	0.488882	0.049639	0.0	
Sample_63	0.011611	0.37886	0.0	0.0	0.0	0.001577	0.035422	0.0	0.0	0.524482	0.048048	0.0	
Sample_64	0.0	0.373713	0.0	0.0	0.0	0.00141	0.050873	0.012801	0.0	0.499924	0.0562	0.00508	
Sample_65	0.016596	0.354098	0.0	0.0	0.0	0.0	0.061357	0.0	0.00142	0.484174	0.033931	0.048424	
Sample_66	0.067822	0.317058	0.0	0.0	0.0	0.0	0.078868	0.0	0.002879	0.474346	0.059027	0.0	
Sample_67	0.020689	0.234934	0.0	0.0	0.0	0.001051	0.108787	0.10553	0.0	0.476392	0.052617	0.0	
Sample_68	0.0	0.04396	0.0	0.0	0.0	0.001293	0.541925	0.0	0.0	0.276643	0.136179	0.0	
Sample_69	0.017438	0.0	0.0	0.044869	0.0	0.0	0.0	0.037634	0.900055	0.0	3e-06	0.0	
Sample_70	0.0	0.0	0.0	0.0	0.993711	0.0	0.0	0.006288	0.0	0.0	1e-06	0.0	
Sample_71	0.0	0.0	0.0	0.0	0.0	0.999998	0.0	0.0	0.0	0.0	2e-06	0.0	
