	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	Predicted_signature_15	Predicted_signature_16	Predicted_signature_17	Predicted_signature_18	Predicted_signature_19	Predicted_signature_20	Predicted_signature_21	Predicted_signature_22	Predicted_signature_23	Predicted_signature_24	Predicted_signature_25	Predicted_signature_26	Predicted_signature_27	
Sample_92	0.001077	0.002194	0.072545	0.004393	0.016082	0.031677	0.078496	0.102835	0.012508	0.088357	0.002693	0.006157	0.107361	0.002049	0.016664	0.020986	0.021324	0.004008	0.008061	0.027875	0.123328	0.004123	0.002407	0.002932	0.227507	0.005174	0.007188	
Sample_93	0.000876	0.001729	0.079805	0.007392	0.017814	0.034031	0.076686	0.104496	0.007857	0.093087	0.004378	0.008716	0.092389	0.008966	0.01323	0.014309	0.033947	0.002498	0.007407	0.025124	0.121389	0.003232	0.002726	0.003196	0.218415	0.006644	0.009661	
Sample_94	0.001874	0.004155	0.08733	0.002378	0.016419	0.022072	0.079234	0.119613	0.008588	0.093195	0.004686	0.002812	0.098352	0.003116	0.008646	0.012879	0.020314	0.003062	0.011907	0.022576	0.130377	0.003838	0.000611	0.004081	0.226382	0.007591	0.003912	
Sample_95	0.001192	0.000698	0.078386	0.006475	0.015416	0.025611	0.085791	0.10724	0.027293	0.072967	0.002384	0.008902	0.10186	0.001973	0.015199	0.018171	0.029101	0.007882	0.007663	0.017726	0.134482	0.004226	0.003398	0.00486	0.203799	0.010416	0.00689	
Sample_96	0.000823	0.002634	0.084659	0.002176	0.015696	0.027577	0.072152	0.103294	0.018905	0.074741	0.001646	0.007298	0.088794	0.001155	0.012372	0.023703	0.029932	0.005453	0.008557	0.025732	0.148348	0.005567	0.002552	0.004073	0.219798	0.006013	0.006352	
Sample_97	0.003627	0.002454	0.07304	0.008713	0.014667	0.033089	0.081068	0.103154	0.016454	0.065497	0.002612	0.005819	0.098368	0.00224	0.009543	0.023727	0.024081	0.002883	0.008359	0.022605	0.134296	0.005373	0.002622	0.009595	0.233743	0.007695	0.004677	
Sample_98	0.003653	0.002423	0.073399	0.009131	0.014822	0.033021	0.081009	0.103124	0.016628	0.064807	0.002776	0.005565	0.097873	0.001558	0.009655	0.023923	0.023989	0.002725	0.008465	0.022764	0.134955	0.005426	0.002988	0.009342	0.233943	0.00757	0.004466	
Sample_99	0.003768	0.002375	0.072944	0.008729	0.014696	0.033045	0.081419	0.102718	0.016499	0.06545	0.002608	0.005806	0.09824	0.002048	0.008654	0.023695	0.023919	0.002797	0.008354	0.022576	0.13439	0.005408	0.002607	0.010891	0.233856	0.008087	0.004424	
Sample_100	0.003497	0.002394	0.073189	0.008471	0.014753	0.033074	0.081604	0.103272	0.016724	0.06553	0.002622	0.005531	0.098475	0.001721	0.008752	0.023826	0.023769	0.002964	0.008188	0.022399	0.135019	0.005421	0.002673	0.008581	0.234889	0.008641	0.00402	
Sample_101	0.002584	0.000158	0.076569	0.004892	0.021005	0.029079	0.083492	0.106338	0.024041	0.07188	0.000517	0.002584	0.101879	0.001108	0.008579	0.024444	0.021639	0.005526	0.007111	0.02595	0.128332	0.002213	0.000653	0.009971	0.222434	0.005087	0.011934	
Sample_102	0.001614	0.005379	0.077557	0.006731	0.017959	0.025184	0.081238	0.095701	0.017236	0.074057	0.001614	0.005425	0.100841	0.00231	0.016024	0.025117	0.031288	0.007922	0.008292	0.016758	0.122578	0.00562	0.000239	0.006443	0.225919	0.012656	0.008295	
Sample_103	0.001797	0.001251	0.080912	0.00953	0.016459	0.029421	0.080987	0.101654	0.011825	0.076054	0.0	0.001679	0.092985	0.004634	0.023165	0.020095	0.014277	0.003449	0.01	0.027614	0.129435	0.008332	0.005238	0.012404	0.224046	0.005288	0.007468	
Sample_104	0.000889	0.003367	0.080111	0.000958	0.015277	0.031828	0.079233	0.109738	0.024833	0.073722	0.003556	0.000889	0.088409	0.00184	0.015782	0.021473	0.020455	0.006266	0.005491	0.027322	0.12773	0.010926	0.002131	0.004546	0.229564	0.005769	0.007896	
Sample_105	0.0	0.000234	0.072936	0.004495	0.024648	0.024916	0.078894	0.10942	0.015584	0.064163	0.001281	0.008287	0.093403	0.000219	0.020272	0.022631	0.018237	0.004248	0.011257	0.028875	0.124553	0.007683	0.001731	0.012386	0.221073	0.009725	0.018849	
Sample_106	0.000821	0.001559	0.071302	0.005598	0.017448	0.016402	0.083009	0.112807	0.023725	0.065094	0.001232	0.008823	0.082065	0.007177	0.00926	0.021485	0.024399	0.002672	0.015244	0.022305	0.13044	0.007502	0.003496	0.012235	0.232482	0.014656	0.006763	
Sample_107	0.0	0.001482	0.074982	0.003262	0.015692	0.029292	0.063027	0.108235	0.016422	0.088589	0.0	0.003367	0.091398	0.000249	0.016931	0.019713	0.016403	0.002362	0.008193	0.029312	0.138228	0.005325	0.005078	0.022064	0.227221	0.010748	0.002423	
Sample_108	0.000854	0.000503	0.081851	0.004704	0.022996	0.026228	0.056754	0.110813	0.012389	0.079012	0.002563	0.005447	0.098302	0.00654	0.012474	0.019887	0.013559	0.002506	0.010182	0.021023	0.136352	0.002674	0.00324	0.006177	0.245677	0.008748	0.008541	
Sample_109	0.002413	0.00123	0.076181	0.001492	0.007491	0.024709	0.062217	0.100488	0.019455	0.064467	0.003619	0.005891	0.10313	0.006491	0.015369	0.020642	0.011541	0.006963	0.008349	0.02595	0.13452	0.008921	0.015085	0.02429	0.221614	0.014629	0.012855	
Sample_110	0.001897	0.002215	0.081249	0.008783	0.015154	0.040406	0.071567	0.09564	0.02267	0.069831	0.005058	0.004533	0.081508	0.001505	0.014075	0.020773	0.012454	0.013622	0.006634	0.024627	0.125864	0.010893	0.004302	0.005206	0.236144	0.016854	0.006536	
Sample_111	0.002845	4.6e-05	0.081757	0.009315	0.021119	0.037094	0.069004	0.096648	0.016843	0.0748	0.000711	0.007561	0.095054	0.003299	0.014848	0.021563	0.015248	0.007761	0.009189	0.022607	0.114498	0.004504	0.005824	0.007775	0.237831	0.013826	0.00843	
Sample_112	0.0	0.005127	0.089707	0.00238	0.01983	0.031641	0.077115	0.103407	0.011825	0.074108	0.001718	0.0049	0.080099	0.004564	0.0087	0.010451	0.009672	0.019583	0.014894	0.024653	0.124449	0.004222	0.004971	0.016515	0.227814	0.016567	0.011089	
Sample_113	0.006734	0.008191	0.083155	0.006215	0.009992	0.039579	0.074764	0.096996	0.025574	0.05824	0.003367	0.011082	0.095834	0.004301	0.01519	0.022665	0.010861	0.020991	0.005147	0.01383	0.123954	0.007723	0.00255	0.01305	0.224488	0.008075	0.007451	
Sample_114	0.006719	0.00883	0.082968	0.00684	0.009968	0.039491	0.074594	0.096782	0.025462	0.058098	0.003359	0.011046	0.095053	0.005799	0.01386	0.022612	0.010743	0.020749	0.005144	0.013799	0.122526	0.00771	0.002531	0.015006	0.224009	0.008849	0.007451	
Sample_115	0.00678	0.003501	0.083717	0.006292	0.010033	0.038693	0.075291	0.097652	0.025756	0.057587	0.00339	0.011161	0.096483	0.004424	0.014631	0.022817	0.010531	0.021183	0.005088	0.013346	0.124784	0.007785	0.002561	0.015067	0.224989	0.007917	0.008543	
Sample_116	0.007761	0.006139	0.082141	0.007451	0.009806	0.038531	0.073858	0.095813	0.025018	0.057433	0.004435	0.010935	0.094104	0.005485	0.019447	0.022382	0.010322	0.019619	0.005053	0.013661	0.122422	0.007565	0.002479	0.017851	0.220626	0.008837	0.010828	
Sample_117	0.005017	0.003813	0.077939	0.007388	0.006246	0.038459	0.074072	0.09033	0.023297	0.059968	0.002508	0.009111	0.098363	0.002872	0.015601	0.027029	0.015618	0.017338	0.007403	0.012897	0.123757	0.0065	0.005712	0.014267	0.234754	0.00804	0.0117	
Sample_118	0.0	0.006357	0.078793	0.004885	0.018235	0.020578	0.069058	0.117356	0.016571	0.062631	0.0	0.0	0.100753	0.000433	0.008809	0.022467	0.033085	0.005491	0.008411	0.020562	0.136317	0.000123	0.00227	0.021024	0.220158	0.002462	0.023169	
Sample_119	0.002841	0.008549	0.079385	0.000471	0.02636	0.029066	0.08745	0.102213	0.013487	0.063621	0.00142	0.004184	0.079898	0.012125	0.012677	0.023006	0.018421	0.00013	0.004631	0.023297	0.130761	0.001578	0.005009	0.018323	0.220996	0.002893	0.027208	
Sample_120	0.002586	0.000119	0.063658	0.005931	0.019217	0.023168	0.075469	0.093781	0.012866	0.072824	0.001293	0.002435	0.098302	7.2e-05	0.019295	0.023604	0.036655	0.006396	0.006149	0.027818	0.122402	0.008758	6.7e-05	0.010116	0.237142	0.015921	0.013958	
Sample_121	0.000962	0.000339	0.052902	0.003279	0.022582	0.017778	0.085229	0.103941	0.010268	0.068727	0.0	0.004684	0.11261	0.001866	0.016397	0.022364	0.027202	0.01136	0.009568	0.030557	0.128956	0.006638	0.002105	0.008826	0.227505	0.013943	0.009413	
Sample_122	0.001338	0.001667	0.050541	0.002088	0.016471	0.028746	0.085168	0.108034	0.011078	0.062713	0.000669	0.0043	0.095785	0.00242	0.011076	0.026362	0.035148	0.004532	0.012963	0.012379	0.138828	0.004826	0.003003	0.00947	0.242152	0.013743	0.014501	
Sample_123	0.001176	0.002482	0.057481	0.005955	0.011705	0.02767	0.078656	0.0926	0.027416	0.059482	0.00147	0.009045	0.095992	0.003415	0.017934	0.016013	0.036012	0.004952	0.01199	0.0205	0.114419	0.009062	0.005437	0.007093	0.25113	0.014085	0.016826	
Sample_124	0.0	0.001315	0.046558	0.006297	0.011848	0.025726	0.080122	0.088748	0.008159	0.082285	0.0	0.003275	0.102477	0.003857	0.015246	0.038443	0.02322	0.002247	0.003575	0.016828	0.138267	0.00502	0.001643	0.017982	0.261513	0.003649	0.011698	
Sample_125	0.00471	0.008177	0.06013	0.006521	0.009851	0.035335	0.076407	0.106596	0.012143	0.083893	0.0	0.009419	0.088557	0.002219	0.010468	0.012659	0.004244	0.002238	0.018552	0.024147	0.128719	0.003424	0.004081	0.009271	0.24749	0.019914	0.010835	
Sample_126	0.00116	0.003963	0.067566	0.001633	0.011264	0.031742	0.083308	0.10591	0.023777	0.074196	0.00174	0.005194	0.087505	0.000359	0.010637	0.017075	0.006896	0.009269	0.009216	0.018737	0.14532	0.005918	0.000345	0.00672	0.258286	0.009245	0.003019	
Sample_127	0.00207	0.004552	0.069996	0.005263	0.013207	0.033177	0.091143	0.094427	0.027424	0.063975	0.002761	0.015763	0.08116	0.002965	0.026821	0.023007	0.013612	0.004333	0.010769	0.019823	0.121005	0.002185	0.002544	0.013964	0.238438	0.010985	0.00463	
Sample_128	0.000513	4.1e-05	0.06531	0.00439	0.009812	0.034602	0.070546	0.111325	0.003704	0.071287	0.003075	0.001025	0.110015	0.005397	0.005754	0.023731	0.018263	0.007194	0.009736	0.014736	0.138122	0.001698	0.003957	0.0063	0.2638	0.008323	0.007342	
Sample_129	0.0	9.1e-05	0.072873	0.00085	0.012975	0.030508	0.084209	0.109549	0.002436	0.06808	0.000514	0.001542	0.096714	0.002075	0.007042	0.027941	0.027463	0.001267	0.014193	0.019515	0.129576	0.006982	0.003483	0.0046	0.266898	0.003869	0.004753	
Sample_130	0.002079	0.005641	0.063963	0.006528	0.013633	0.039673	0.076408	0.104119	0.010576	0.06391	0.001386	0.004272	0.099118	0.00425	0.015476	0.022321	0.014448	0.001021	0.004188	0.024157	0.133351	0.007223	9.3e-05	0.009698	0.255228	0.016776	0.000461	
Sample_131	0.001303	0.001574	0.065427	0.004024	0.013789	0.03398	0.064069	0.097246	0.006555	0.070825	0.001303	0.003691	0.094435	0.004502	0.012286	0.033655	0.02582	0.010591	0.011249	0.020713	0.119441	0.006458	0.009492	0.014904	0.249649	0.014582	0.008436	
Sample_132	0.000404	0.006967	0.069441	0.002265	0.014503	0.02644	0.066129	0.110615	0.00801	0.070686	0.001211	0.003537	0.085648	0.007011	0.020873	0.031937	0.021199	0.000478	0.007172	0.024418	0.11692	0.006227	4.3e-05	0.015581	0.263746	0.008915	0.009624	
Sample_133	0.001598	0.001437	0.080806	0.003977	0.013985	0.024533	0.085499	0.107231	0.011534	0.077403	0.000533	0.003692	0.081772	0.000941	0.01031	0.024171	0.01463	0.00667	0.011135	0.031939	0.120184	0.004941	0.002265	0.001638	0.263856	0.004925	0.008396	
Sample_134	0.0	0.002845	0.065778	0.002222	0.007605	0.033603	0.083795	0.085589	0.027471	0.084096	0.005839	0.006504	0.09553	0.00089	0.008897	0.019839	0.021208	0.013795	0.009882	0.032149	0.125797	0.00389	0.00244	0.010464	0.235549	0.011449	0.002875	
Sample_135	0.001245	0.003078	0.074793	0.010961	0.011533	0.03313	0.068953	0.083296	0.010667	0.088205	0.001245	0.008717	0.100221	0.005766	0.01179	0.018806	0.020148	0.003736	0.010721	0.047106	0.121087	0.003312	0.0046	0.01991	0.225866	0.008115	0.002993	
Sample_136	0.0	9.7e-05	0.056327	0.007484	0.005942	0.034097	0.059981	0.100355	0.009194	0.073125	0.002469	0.009623	0.088316	0.003754	0.012644	0.033681	0.022248	0.002615	0.008615	0.050486	0.128814	0.003748	0.004254	0.018545	0.232257	0.0201	0.011228	
Sample_137	0.002765	0.003294	0.089872	0.002598	0.017351	0.024348	0.063547	0.099651	0.014394	0.072275	0.005531	0.004271	0.076452	0.000686	0.026243	0.031168	0.033219	0.013627	0.011392	0.020984	0.115938	0.012774	0.003933	0.003566	0.240056	0.007849	0.002217	
Sample_138	0.001465	0.008695	0.076584	0.002586	0.012679	0.019529	0.075426	0.144838	0.013849	0.073608	0.002198	0.002075	0.080203	0.003574	0.00386	0.015492	0.005081	0.001225	0.01098	0.02853	0.132789	0.003445	0.000886	0.007238	0.267256	0.003162	0.002747	
Sample_139	0.0	4.2e-05	0.073777	0.005457	0.014343	0.032182	0.066301	0.143407	0.015242	0.084158	0.002579	0.005516	0.074028	0.001149	0.00855	0.021283	0.010192	0.005879	0.003738	0.024317	0.136451	0.009685	0.002371	0.007012	0.242538	0.007979	0.001827	
Sample_140	0.001652	0.003496	0.078437	0.005538	0.022608	0.031775	0.084076	0.1211	0.016451	0.072296	0.003635	0.003899	0.07724	0.001173	0.006781	0.01768	0.008291	0.002347	0.004805	0.021346	0.139386	0.001049	0.001881	0.004098	0.242844	0.007905	0.018211	
Sample_141	0.003578	0.001787	0.077882	0.002834	0.016308	0.037199	0.089982	0.127665	0.010172	0.076637	0.002385	0.004174	0.085661	0.002949	0.00999	0.012748	0.007292	0.003093	0.003549	0.023842	0.132047	0.002081	0.00444	0.010386	0.243225	0.006534	0.001561	
Sample_142	0.00223	0.003266	0.072356	0.001355	0.01746	0.02813	0.078308	0.126611	0.015417	0.064634	0.002601	0.004276	0.091162	1.4e-05	0.00546	0.023827	0.019109	0.001611	0.008459	0.019054	0.144459	0.005152	0.002747	0.005551	0.233459	0.01115	0.012142	
Sample_143	0.003311	0.002688	0.083993	0.00445	0.019769	0.032174	0.079079	0.132552	0.008999	0.06366	0.002483	0.000767	0.086808	0.003437	0.011794	0.027652	0.011415	0.002712	0.010551	0.019949	0.134121	0.002776	0.002289	0.004189	0.239782	0.002869	0.005732	
Sample_144	0.002987	0.003243	0.075895	0.002094	0.018845	0.032316	0.082091	0.13717	0.024379	0.074815	0.004087	0.005155	0.082533	0.001402	0.00773	0.017721	0.006524	0.007661	0.00765	0.016602	0.138853	0.004005	0.000851	0.001941	0.234686	0.003851	0.004912	
Sample_145	0.00375	0.002547	0.082852	0.003261	0.019932	0.028065	0.079424	0.141412	0.023685	0.069503	0.001534	0.003488	0.088262	0.000234	0.005502	0.013834	0.006883	0.005018	0.006245	0.024632	0.125374	0.003129	0.002031	0.002409	0.241493	0.006169	0.009331	
Sample_146	0.003535	0.003211	0.071285	0.006128	0.01797	0.026677	0.073818	0.130143	0.025366	0.069129	0.001768	0.003003	0.085262	0.002959	0.020458	0.020015	0.00759	0.009465	0.015662	0.020389	0.127747	0.004602	0.003319	0.005857	0.23462	0.006249	0.003772	
Sample_147	0.001219	0.002264	0.06671	0.001595	0.016375	0.027611	0.072542	0.124268	0.015575	0.075656	0.000522	0.003986	0.085629	0.003487	0.005896	0.021288	0.019221	0.006104	0.010077	0.017142	0.144342	0.004182	0.001739	0.004441	0.255192	0.008175	0.004761	
Sample_148	0.000561	0.002314	0.064452	0.004714	0.017726	0.032132	0.066466	0.121871	0.008216	0.076051	0.001683	0.00545	0.088622	0.000801	0.007818	0.018869	0.023006	0.00445	0.011511	0.018989	0.129683	0.004757	0.001313	0.009871	0.258894	0.016918	0.002864	
Sample_149	0.000348	0.000794	0.072066	0.002265	0.017561	0.024196	0.076888	0.133231	0.007335	0.072071	0.001391	0.001391	0.095484	5.4e-05	0.008843	0.027724	0.006562	0.00311	0.00645	0.022458	0.131687	0.005402	0.00383	0.00776	0.257974	0.007655	0.00547	
Sample_150	0.001125	0.001756	0.068327	0.004732	0.024204	0.028004	0.074391	0.120859	0.014099	0.070224	0.001875	0.005518	0.085583	0.001724	0.014801	0.019625	0.012875	0.00375	0.009995	0.025751	0.130365	0.004119	0.004239	0.006618	0.256599	0.005642	0.003201	
Sample_151	0.000412	0.001903	0.069098	0.000626	0.018361	0.036614	0.062697	0.135675	0.016415	0.075904	0.002881	0.003234	0.108177	0.00298	0.002556	0.012845	0.006947	0.008209	0.007229	0.015625	0.129089	0.003856	0.002368	0.012463	0.250117	0.010202	0.003517	
Sample_152	0.00307	0.002572	0.078084	0.003363	0.018737	0.038527	0.071114	0.125073	0.010193	0.075975	0.001675	0.004974	0.107541	0.001257	0.009975	0.019311	0.007225	0.002063	0.008105	0.022601	0.121664	0.004236	0.001968	0.005669	0.247115	0.005408	0.002504	
Sample_153	0.000862	0.003192	0.083076	0.006417	0.02069	0.029105	0.067514	0.136707	0.007824	0.053672	0.000862	0.002586	0.096168	0.002586	0.015494	0.023429	0.013616	0.000648	0.002778	0.026511	0.12558	0.007065	0.000905	0.00367	0.260176	0.007011	0.001856	
Sample_154	0.005098	0.002025	0.092247	0.001929	0.021162	0.021761	0.065885	0.123332	0.008236	0.055889	0.0	0.004248	0.092933	6e-06	0.004972	0.014547	0.026432	0.011411	0.013905	0.020918	0.125486	0.005793	0.001804	0.004018	0.250931	0.005707	0.019325	
Sample_155	0.001162	0.003437	0.063045	0.00586	0.020912	0.024192	0.07412	0.118016	0.018942	0.081897	0.001937	0.005424	0.06811	0.004006	0.005996	0.020669	0.015657	0.007588	0.004993	0.023038	0.15193	0.00602	0.002044	0.006432	0.24781	0.008948	0.007816	
Sample_156	0.003444	0.00146	0.080857	0.003103	0.012873	0.025874	0.078245	0.116871	0.010174	0.070906	0.002296	0.005741	0.071451	0.00393	0.007223	0.027729	0.015381	0.008897	0.002376	0.025889	0.155172	0.004074	0.0023	0.00098	0.239833	0.017635	0.005286	
Sample_157	0.000831	9e-05	0.067108	0.007439	0.01861	0.033157	0.070442	0.098322	0.016633	0.06887	0.000831	0.004156	0.077724	0.005482	0.006933	0.021923	0.021026	0.005449	0.010612	0.03405	0.145743	0.0074	0.004564	0.005255	0.237399	0.009843	0.020106	
Sample_158	0.001627	0.002467	0.068382	0.003208	0.017152	0.027966	0.077776	0.110517	0.007029	0.071964	0.000651	0.002891	0.077476	0.003948	0.011759	0.022797	0.029193	0.005555	0.010323	0.029014	0.138976	0.00458	0.005636	0.00495	0.25051	0.007128	0.006527	
Sample_159	0.00158	0.00669	0.081667	0.006226	0.018084	0.032334	0.074093	0.142909	0.004889	0.076987	0.0	0.00158	0.06344	0.012083	0.01528	0.030422	0.020867	0.005215	0.006716	0.009805	0.129376	0.009686	3.2e-05	0.001665	0.234006	0.006426	0.00794	
Sample_160	0.0	0.00146	0.078815	0.007629	0.018796	0.03936	0.057975	0.12427	0.018203	0.083163	0.000875	0.003089	0.070224	0.005664	0.020211	0.024925	0.011486	0.004257	0.005421	0.010812	0.131994	0.002262	0.001025	0.006839	0.238737	0.020523	0.011988	
Sample_161	0.0	0.002449	0.072431	0.002279	0.016862	0.036864	0.059925	0.1215	0.023834	0.067534	0.006012	0.001366	0.070523	0.008149	0.010258	0.036279	0.023087	0.00997	0.014202	0.014443	0.113967	0.009262	0.008672	0.020599	0.217747	0.025589	0.006196	
Sample_162	0.002479	0.001452	0.076103	0.006065	0.018515	0.03739	0.064709	0.130585	0.019308	0.077228	0.001859	0.007968	0.093123	0.004027	0.006845	0.023232	0.009592	0.015237	0.007556	0.028893	0.118127	0.00576	0.002673	0.005827	0.21519	0.005788	0.01447	
Sample_163	0.003909	0.002155	0.061583	0.005414	0.014504	0.03836	0.074896	0.129573	0.011985	0.063161	0.003127	0.001564	0.103976	0.004844	0.014436	0.017317	0.020251	0.010931	0.007681	0.02963	0.112185	0.011882	0.001015	0.012143	0.219584	0.005298	0.018594	
Sample_164	0.0	0.005226	0.067919	0.001357	0.0225	0.026829	0.062406	0.144208	0.003988	0.061506	0.002621	0.009135	0.080412	0.010379	0.019812	0.014522	0.022484	0.016132	0.000907	0.036202	0.121903	0.008304	0.006153	0.015678	0.222822	0.00307	0.013522	
Sample_165	0.00087	0.010097	0.069396	0.011376	0.021572	0.02937	0.064779	0.113721	0.015428	0.046253	0.001741	0.006092	0.083999	0.003809	0.017899	0.020149	0.016042	0.025526	0.006146	0.023193	0.127748	0.012041	0.006233	0.014275	0.220392	0.011644	0.02021	
Sample_166	0.007937	0.001157	0.063683	0.003356	0.020854	0.042526	0.082711	0.091867	0.013682	0.051001	0.003968	0.003968	0.077892	0.008284	0.009824	0.031937	0.017387	0.007278	0.008557	0.020369	0.12281	0.029022	0.008756	0.011693	0.230545	0.010193	0.018743	
Sample_167	0.0	0.004492	0.062593	0.003672	0.013194	0.044253	0.082304	0.103138	0.003765	0.067305	0.003421	0.021362	0.084906	0.002069	0.025875	0.015079	0.027103	0.008432	0.008852	0.026856	0.129193	0.015894	0.001287	0.006671	0.207771	0.013702	0.016813	
Sample_168	0.002062	0.002507	0.059786	0.004612	0.020255	0.038967	0.078242	0.109143	0.013774	0.055869	0.0	0.007151	0.093418	0.00564	0.024294	0.032151	0.016103	0.004897	0.010295	0.04217	0.133648	0.006594	0.0014	0.017171	0.201931	0.008031	0.009889	
Sample_169	0.00141	0.000434	0.06293	0.001098	0.020038	0.037486	0.078266	0.118934	0.009972	0.071133	0.00141	0.008361	0.099438	0.005411	0.044436	0.022714	0.01001	0.005595	0.0043	0.020261	0.117132	0.004716	0.003604	0.015841	0.224666	0.00367	0.006732	
Sample_170	0.0	0.00159	0.060629	0.008986	0.019868	0.033858	0.09051	0.121527	0.012784	0.053579	0.001104	0.008562	0.084458	0.002808	0.025321	0.025549	0.02313	0.015282	0.006648	0.028271	0.104796	0.009541	0.006644	0.002256	0.235295	0.013207	0.003799	
Sample_171	0.001107	0.008334	0.06366	0.004385	0.017123	0.031123	0.087268	0.108219	0.017567	0.051215	0.006641	0.008055	0.095834	0.00614	0.026301	0.016263	0.041121	0.013776	0.00483	0.019862	0.10993	0.010541	0.001809	0.008664	0.217669	0.011374	0.011189	
Sample_172	0.002639	0.003203	0.04124	0.004671	0.004156	0.021635	0.101462	0.123452	0.015032	0.055285	0.002639	0.003817	0.101205	0.001506	0.0347	0.031856	0.027068	0.005404	0.001084	0.013582	0.117275	0.01294	0.003082	0.021972	0.237418	0.008491	0.003187	
Sample_173	0.00491	0.006525	0.076148	0.000601	0.024774	0.023484	0.102215	0.099197	0.0106	0.074674	0.0	0.003273	0.085513	0.008677	0.013159	0.029824	0.017412	0.011107	0.013977	0.023472	0.105984	0.00942	0.010786	0.015996	0.195281	0.005142	0.027849	
Sample_174	0.0	0.006575	0.064221	0.006534	0.020442	0.032677	0.098507	0.131166	0.003492	0.085123	0.003992	0.007984	0.088417	0.003992	0.002708	0.028579	0.017842	0.003513	0.003531	0.012356	0.106806	0.006414	0.008565	0.014703	0.215164	0.006872	0.019824	
Sample_175	0.0	0.000571	0.079869	0.003814	0.023077	0.023547	0.093254	0.104518	0.009416	0.084488	0.0	0.004918	0.089001	0.012467	0.015101	0.011644	0.043495	0.003163	0.00106	0.021862	0.117693	0.002993	0.003887	0.003969	0.230952	0.005348	0.009894	
Sample_176	0.0	5.6e-05	0.084474	0.007809	0.011808	0.034221	0.102228	0.112644	0.005449	0.075721	0.003717	0.005576	0.084009	0.003874	0.004379	0.018861	0.029807	0.004519	0.018212	0.015299	0.131489	0.007914	0.002334	0.006363	0.215369	0.007365	0.006503	
Sample_177	0.001586	0.002732	0.059115	0.00974	0.01421	0.022191	0.062356	0.134506	0.027643	0.081834	0.001586	0.009989	0.081392	0.002513	0.01959	0.015963	0.020048	0.006119	0.009664	0.017353	0.112737	0.007973	0.003495	0.008691	0.240211	0.020199	0.006564	
Sample_178	0.0	0.003579	0.051561	0.000468	0.016019	0.029181	0.068201	0.130525	0.020271	0.094769	0.006334	0.015772	0.090995	0.003377	0.015786	0.015408	0.01907	0.008131	0.020978	0.024352	0.084806	0.010586	0.003459	0.009719	0.245842	0.006603	0.004212	
Sample_179	0.001385	0.002511	0.068838	0.004282	0.010818	0.019875	0.069572	0.119103	0.014914	0.085815	0.00277	0.004081	0.098977	0.006916	0.017493	0.022399	0.036084	0.008553	0.011631	0.026256	0.100166	0.005888	0.004867	0.011568	0.226077	0.008999	0.010164	
Sample_180	0.0	0.000165	0.053311	0.002619	0.019047	0.021958	0.064622	0.110096	0.005718	0.085797	0.0	0.012674	0.113659	0.00297	0.016592	0.037311	0.01988	0.002338	0.011546	0.014678	0.11407	0.011848	0.007187	0.014754	0.237122	0.007223	0.012815	
Sample_181	0.002364	0.002452	0.064881	0.005876	0.027498	0.032667	0.089285	0.108324	0.024135	0.071442	0.002364	0.014111	0.06778	0.003639	0.001047	0.010726	0.010568	0.021475	0.008684	0.021839	0.109989	0.005868	9.6e-05	0.006469	0.272481	0.00334	0.010601	
Sample_182	0.001224	0.006504	0.077132	0.003092	0.017026	0.021335	0.076638	0.129729	0.019121	0.062299	0.00612	0.003672	0.05524	0.002656	0.018762	0.023702	0.024293	0.007589	0.010757	0.02759	0.105133	0.006484	0.002877	0.023773	0.241902	0.008065	0.017283	
Sample_183	0.0	0.003289	0.053175	0.006122	0.015343	0.031194	0.089487	0.111471	0.030154	0.102567	0.003659	0.007026	0.071224	0.001612	0.015137	0.024678	0.014423	0.007786	0.002558	0.018762	0.138716	0.019515	0.001427	0.019305	0.192214	0.010434	0.008722	
Sample_184	0.002227	0.003361	0.060067	0.002192	0.00906	0.025123	0.090374	0.13476	0.000186	0.094225	0.004454	0.0	0.082966	0.008067	0.005244	0.029316	0.028124	0.002263	0.009533	0.020554	0.137206	0.004796	0.00021	0.025724	0.196959	0.000678	0.02233	
Sample_185	0.001923	0.004452	0.091233	0.005707	0.013789	0.039292	0.068574	0.114522	0.00924	0.078566	0.001923	0.001923	0.073293	0.005978	0.007592	0.025494	0.029094	0.011548	0.016629	0.027548	0.131438	0.003982	0.002243	0.014582	0.198278	0.015165	0.00599	
Sample_186	0.005112	0.001821	0.08284	0.002328	0.014255	0.03816	0.07969	0.13794	0.019838	0.076554	0.003067	0.004531	0.06829	0.00282	0.014269	0.020102	0.013112	0.00981	0.010123	0.020176	0.137967	0.005877	0.000306	0.004995	0.20753	0.013437	0.00505	
Sample_187	0.000509	0.002563	0.079052	0.010048	0.020247	0.028649	0.073026	0.116283	0.024572	0.080378	0.001527	0.014731	0.070933	0.00388	0.015792	0.01854	0.035252	0.004232	0.009901	0.016713	0.139044	0.004165	0.002323	0.011576	0.207384	0.002712	0.005967	
