	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	Predicted_signature_15	Predicted_signature_16	Predicted_signature_17	Predicted_signature_18	Predicted_signature_19	Predicted_signature_20	Predicted_signature_21	Predicted_signature_22	Predicted_signature_23	Predicted_signature_24	Predicted_signature_25	Predicted_signature_26	Predicted_signature_27	
Sample_21	0.001921	0.002168	0.063667	0.002252	0.010015	0.058834	0.075911	0.059297	0.026437	0.070521	0.000961	0.006582	0.144305	0.002906	0.029622	0.018525	0.024096	0.018998	0.014077	0.019698	0.108964	0.005711	0.002348	0.010567	0.19484	0.022038	0.004737	
Sample_22	0.001942	3.4e-05	0.076389	0.004587	0.045396	0.065284	0.080576	0.066047	0.003906	0.052235	0.0	0.0	0.119153	0.007911	0.020585	0.019549	0.006012	0.012225	0.009374	0.031782	0.110076	0.016693	0.011079	0.006734	0.214623	0.012092	0.005715	
Sample_23	0.002217	0.016563	0.077947	0.01468	0.009325	0.042965	0.073846	0.034609	0.01378	0.053136	0.006652	0.003904	0.102502	0.012047	0.045382	0.028992	0.041981	0.006506	0.009115	0.022712	0.103438	0.011927	0.005035	0.026575	0.194107	0.031126	0.00893	
Sample_24	0.003666	0.002736	0.078753	0.008952	0.011166	0.022534	0.064951	0.034045	0.019737	0.065697	0.001833	0.004583	0.136627	0.003914	0.045838	0.015808	0.023621	0.003235	0.012705	0.029108	0.114494	0.004955	0.002085	0.020697	0.241956	0.020331	0.005972	
Sample_25	0.002077	0.004638	0.081474	0.021165	0.016435	0.05936	0.103553	0.075899	0.00883	0.070378	0.003115	0.007059	0.097018	0.006161	0.026563	0.023102	0.011633	0.009903	0.024234	0.031886	0.051314	0.006093	0.004625	0.023338	0.202949	0.014442	0.012757	
Sample_26	0.013324	0.007153	0.093438	0.013422	0.010872	0.036547	0.088807	0.080848	0.015501	0.067458	0.001403	0.009059	0.11266	0.008939	0.046267	0.021961	0.033711	0.009086	0.022435	0.027282	0.044418	0.003846	0.008401	0.02275	0.175752	0.003465	0.021195	
Sample_27	0.004667	0.004057	0.064133	0.004457	0.008434	0.025084	0.100727	0.094817	0.027054	0.060645	0.003501	0.009069	0.115182	0.011616	0.029002	0.02583	0.030685	0.003028	0.005204	0.025102	0.08134	0.001292	0.006709	0.019171	0.208438	0.021556	0.009199	
Sample_28	0.003083	0.005021	0.080794	0.008268	0.008489	0.046145	0.093925	0.08456	0.021487	0.04855	0.003083	0.008966	0.103275	0.008568	0.032471	0.026228	0.026532	0.018237	0.009561	0.023164	0.089265	0.007578	0.008401	0.012631	0.190777	0.011365	0.019577	
Sample_29	0.005773	0.020978	0.09949	0.007557	0.020751	0.023641	0.068215	0.064784	0.016104	0.06652	0.003849	0.003692	0.121788	0.006665	0.023899	0.022723	0.032135	0.004565	0.019455	0.026289	0.06227	0.007797	0.004551	0.020344	0.218473	0.009649	0.018042	
Sample_30	0.002569	0.00535	0.090984	0.016206	0.018064	0.022617	0.072123	0.065642	0.022508	0.064351	0.003083	0.010256	0.12558	0.004163	0.044879	0.021813	0.016603	0.020657	0.011517	0.022647	0.06229	0.013609	0.006902	0.021197	0.21078	0.007648	0.015959	
Sample_31	0.00324	0.018416	0.071041	0.012565	0.020893	0.040397	0.076072	0.074077	0.012921	0.056798	0.00324	0.008201	0.110251	0.004385	0.037622	0.024957	0.03748	0.005185	0.01587	0.019274	0.07745	0.00522	0.002852	0.017931	0.211937	0.01391	0.017814	
Sample_32	0.002783	0.038854	0.09223	0.010171	0.013826	0.036043	0.056528	0.077877	0.029144	0.086664	0.002783	0.003159	0.133456	0.008465	0.016665	0.017347	0.022027	0.008133	0.01169	0.018547	0.078817	0.003989	0.002179	0.009759	0.203628	0.005941	0.009295	
Sample_33	0.0	0.039911	0.073684	0.00517	0.007117	0.038821	0.070679	0.075139	0.014071	0.078776	0.002986	0.006111	0.124196	0.005273	0.028984	0.021039	0.022446	0.008916	0.017358	0.014012	0.075917	0.00441	0.004059	0.027354	0.218957	0.007729	0.006886	
Sample_34	0.002045	0.005213	0.090758	0.010744	0.010678	0.03764	0.07589	0.059269	0.011525	0.077934	0.003506	0.006615	0.14652	0.003445	0.026772	0.02757	0.021837	0.005915	0.013365	0.031131	0.059256	0.006016	0.006079	0.010872	0.225817	0.009032	0.014556	
Sample_35	0.002919	0.020327	0.089045	0.004821	0.011411	0.030971	0.075789	0.046531	0.013426	0.074683	0.002919	0.007835	0.149555	0.003883	0.024691	0.020315	0.026678	0.002145	0.020073	0.026916	0.072023	0.007902	0.007129	0.024116	0.21547	0.007489	0.010939	
Sample_36	0.001746	0.00643	0.075737	0.011399	0.013275	0.033664	0.072165	0.062592	0.029483	0.072892	0.002494	0.010803	0.145352	0.003877	0.018173	0.020419	0.025989	0.009965	0.007125	0.020196	0.085099	0.004455	0.005999	0.017287	0.22451	0.007833	0.011039	
Sample_37	0.002364	0.003856	0.074671	0.014451	0.011517	0.03538	0.082115	0.067674	0.017328	0.059133	0.003439	0.005981	0.154361	0.005143	0.024196	0.022913	0.024392	0.005404	0.016871	0.019168	0.07693	0.006667	0.003715	0.020309	0.225124	0.004614	0.012283	
Sample_38	0.006514	0.001006	0.085559	0.009106	0.015269	0.040229	0.072804	0.060853	0.029061	0.069497	0.002345	0.006233	0.13698	0.00144	0.021408	0.02896	0.017606	0.007939	0.011129	0.023502	0.081179	0.003455	0.003084	0.003801	0.243977	0.002573	0.01449	
Sample_39	0.002054	0.007593	0.106143	0.008298	0.010184	0.037291	0.079122	0.056244	0.02032	0.075391	0.002311	0.005353	0.133958	0.00133	0.016789	0.026398	0.014183	0.005498	0.013126	0.023953	0.080531	0.008041	0.004037	0.010056	0.234195	0.009443	0.008157	
Sample_40	0.003854	0.005704	0.108944	0.007673	0.00974	0.051826	0.073351	0.056262	0.018307	0.081691	0.002763	0.003262	0.168355	0.001459	0.01859	0.026165	0.005446	0.007944	0.01064	0.023404	0.062859	0.003076	0.001837	0.004842	0.224544	0.002839	0.01462	
Sample_41	0.002311	0.002782	0.09442	0.011682	0.009715	0.044421	0.078625	0.041798	0.015098	0.077954	0.001849	0.004418	0.170826	0.002171	0.027511	0.021806	0.012764	0.008977	0.015883	0.026052	0.05626	0.00223	0.002934	0.009275	0.239724	0.005379	0.013135	
Sample_42	0.005159	0.007511	0.106878	0.009009	0.01297	0.04018	0.080466	0.051467	0.029485	0.089829	0.002731	0.006651	0.143419	0.00322	0.022255	0.01803	0.018375	0.009255	0.013771	0.025033	0.066998	0.004512	0.002582	0.008131	0.203479	0.004851	0.013752	
Sample_43	0.003983	0.006527	0.103972	0.013796	0.011733	0.038287	0.077046	0.056383	0.022801	0.077957	0.002709	0.0082	0.141989	0.001958	0.029016	0.023234	0.018256	0.006526	0.014448	0.024821	0.066886	0.004736	0.004589	0.009503	0.209931	0.010615	0.010098	
Sample_44	0.001825	0.015214	0.111083	0.010433	0.01492	0.036381	0.079934	0.05065	0.014434	0.076309	0.000912	0.007249	0.133335	0.00351	0.029868	0.021157	0.023804	0.003228	0.008458	0.030371	0.085718	0.006805	0.004044	0.013709	0.197551	0.007259	0.011836	
Sample_45	0.003277	0.009163	0.125266	0.011287	0.011706	0.029054	0.077554	0.063726	0.014144	0.077178	0.003277	0.002083	0.159181	0.003768	0.022455	0.017594	0.022789	0.001572	0.012131	0.019041	0.070339	0.011465	0.001688	0.00871	0.206427	0.00654	0.008585	
Sample_46	0.001128	0.003335	0.096574	0.013102	0.01048	0.034987	0.093247	0.052223	0.033943	0.064241	0.003761	0.014485	0.132358	0.00254	0.035995	0.026148	0.024776	0.010978	0.011288	0.024276	0.059955	0.011374	0.008631	0.012065	0.189516	0.008901	0.019692	
Sample_47	0.003033	0.002598	0.085289	0.00613	0.009017	0.044861	0.090712	0.077834	0.021567	0.096358	0.001213	0.005831	0.142388	0.003776	0.017838	0.019039	0.010176	0.005288	0.007226	0.023002	0.079017	0.002887	0.00368	0.007956	0.223313	0.004184	0.005786	
Sample_48	0.003094	0.015811	0.094657	0.007403	0.013743	0.051648	0.084297	0.064751	0.0143	0.077308	0.00275	0.005007	0.127903	0.001786	0.020258	0.02741	0.019493	0.00498	0.014288	0.026771	0.069928	0.003981	0.005359	0.013315	0.211336	0.011127	0.007297	
Sample_49	0.003539	0.005176	0.080272	0.006307	0.015627	0.050926	0.100033	0.073343	0.014704	0.07457	0.00245	0.003267	0.135207	0.004361	0.022919	0.026608	0.018773	0.008441	0.014459	0.021765	0.089123	0.003392	0.002317	0.011829	0.19711	0.005671	0.007809	
Sample_50	0.003627	0.005355	0.082281	0.005874	0.016302	0.05048	0.098896	0.072583	0.015244	0.075815	0.002511	0.003348	0.134885	0.004466	0.022825	0.027271	0.018128	0.008704	0.014016	0.021733	0.089102	0.002787	0.002386	0.010637	0.197909	0.005408	0.007424	
Sample_51	0.003824	0.005155	0.08055	0.006405	0.01589	0.050534	0.098544	0.073305	0.014841	0.074995	0.002458	0.003278	0.137312	0.005354	0.023569	0.026972	0.017697	0.008434	0.013698	0.022954	0.089155	0.002704	0.002341	0.01068	0.195341	0.005909	0.008102	
Sample_52	0.003834	0.005206	0.08018	0.006434	0.015923	0.050378	0.098218	0.072921	0.014851	0.074592	0.002464	0.003286	0.137379	0.005715	0.023585	0.027039	0.01773	0.00838	0.013727	0.02301	0.089378	0.002707	0.002338	0.011126	0.195645	0.006523	0.007431	
Sample_53	0.002192	0.006434	0.076651	0.005862	0.016622	0.050178	0.097283	0.086161	0.016375	0.076007	0.00263	0.003507	0.128491	0.004339	0.016254	0.0305	0.016406	0.008075	0.014261	0.020224	0.088926	0.003222	0.002611	0.013165	0.201234	0.003791	0.008599	
Sample_54	0.004791	0.019546	0.094668	0.006433	0.013011	0.039358	0.080186	0.0724	0.018363	0.07003	0.001652	0.00324	0.154597	0.002418	0.019009	0.018649	0.007863	0.009754	0.010096	0.019306	0.089295	0.003631	0.003584	0.008636	0.213	0.003273	0.013211	
Sample_55	0.002025	0.00372	0.074889	0.002458	0.017616	0.037271	0.103119	0.055789	0.007615	0.077913	0.00567	0.00324	0.146996	0.008855	0.015862	0.037075	0.024453	0.002047	0.021696	0.024489	0.077267	0.006445	0.00361	0.00818	0.212624	0.008165	0.01091	
Sample_56	0.002798	0.007444	0.102264	0.003782	0.023818	0.027395	0.095568	0.07025	0.012922	0.075547	0.004396	0.004352	0.121233	0.001029	0.024242	0.019372	0.025919	0.010891	0.009442	0.022529	0.099408	0.004073	0.001965	0.007943	0.203769	0.009911	0.007738	
Sample_57	0.002317	0.003793	0.097134	0.00137	0.016222	0.037899	0.110233	0.062006	0.004949	0.074919	0.0	0.005445	0.144481	0.001241	0.026337	0.011738	0.028318	0.015195	0.012461	0.017837	0.090144	0.009021	0.004974	0.009836	0.201119	0.007386	0.003623	
Sample_58	0.002275	0.000967	0.071169	0.013162	0.015167	0.040702	0.08667	0.061453	0.014193	0.086637	0.001138	0.010643	0.119151	0.008333	0.032763	0.024709	0.027218	0.00278	0.0174	0.038429	0.077275	0.002482	0.005147	0.015586	0.194798	0.014691	0.015061	
Sample_59	0.001914	0.006934	0.066434	0.008454	0.017778	0.035219	0.075027	0.035581	0.016758	0.068397	0.000957	0.005513	0.164092	0.010325	0.022238	0.038037	0.019654	0.003693	0.012032	0.033306	0.082474	0.008557	0.004459	0.025309	0.216489	0.014031	0.006336	
