	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_43	0.013614	0.182193	0.011359	0.157981	0.036425	0.099059	0.117174	0.037284	0.061748	0.04639	0.048039	0.109465	0.079267	
Sample_44	0.008475	0.163782	0.022105	0.133082	0.031321	0.172015	0.085202	0.010804	0.078206	0.041211	0.052774	0.090443	0.11058	
Sample_45	0.007299	0.110524	0.039675	0.17755	0.028185	2.8e-05	0.206602	0.039634	0.122579	0.039542	0.121352	0.048342	0.058687	
Sample_46	0.020229	0.099838	0.02725	0.20498	0.068885	3e-06	0.08033	0.081056	0.086117	0.09478	0.087223	0.03637	0.112938	
Sample_47	0.011528	0.222877	0.025025	0.122748	0.060077	7e-06	0.170595	0.010658	0.082606	0.102182	0.020341	0.01606	0.155298	
Sample_48	0.043709	0.273363	0.024393	0.135659	0.004097	0.005115	0.176658	0.000723	0.075695	0.088449	0.025875	0.009923	0.13634	
Sample_49	0.014933	0.272215	0.001228	0.088515	0.022137	0.007696	0.167639	0.015385	0.061132	0.106663	0.027666	0.043705	0.171084	
Sample_50	0.016568	0.282675	0.006049	0.079889	0.009898	0.013312	0.151425	0.010158	0.093671	0.089008	0.049996	0.029103	0.168249	
Sample_51	0.010374	0.295955	0.028209	0.034591	0.036317	0.005777	0.166632	0.004303	0.057145	0.128095	0.047077	0.00562	0.179905	
Sample_52	0.016673	0.233853	0.018363	0.050621	0.032838	0.01545	0.178848	0.006699	0.106427	0.11313	0.085311	0.027416	0.114372	
Sample_53	0.014977	0.191457	0.015249	0.071055	0.028958	0.016971	0.18484	0.006033	0.070779	0.126899	0.075374	0.037203	0.160204	
Sample_54	0.010883	0.230085	0.016336	0.045245	0.009402	0.018501	0.24745	0.001976	0.104566	0.039374	0.031143	0.023155	0.221884	
Sample_55	0.018913	0.272082	0.001021	0.023301	0.018146	0.008613	0.25522	0.000344	0.093966	0.07474	0.031831	0.01382	0.188003	
Sample_56	0.023107	0.224418	0.009888	0.063666	0.058385	0.008128	0.213292	0.00659	0.102108	0.070547	0.006299	0.026013	0.187558	
Sample_57	0.001378	0.238556	0.009908	0.057177	0.032025	8e-06	0.220986	0.007421	0.119251	0.085172	0.040403	0.012251	0.175463	
Sample_58	0.01179	0.235793	0.026579	0.04842	0.034348	0.005034	0.174985	0.02734	0.095929	0.050665	0.032688	0.054373	0.202057	
Sample_59	0.025228	0.225681	0.018913	0.085015	0.039777	0.005942	0.180545	0.006487	0.061	0.057999	0.039582	0.052619	0.201211	
Sample_60	0.016568	0.307911	0.022423	0.066779	0.011917	0.020142	0.182501	0.000399	0.110979	0.048604	0.01449	0.017043	0.180244	
Sample_61	0.012736	0.329535	0.003302	0.031298	0.01967	0.008511	0.20384	0.002484	0.113146	0.05078	0.006386	0.015996	0.202316	
Sample_62	0.008492	0.257988	0.045158	0.081541	0.048107	3e-05	0.180183	0.002808	0.119161	0.045232	0.021588	0.027779	0.161934	
Sample_63	0.020417	0.240106	0.076254	0.053813	0.036096	2.3e-05	0.158525	0.004475	0.092936	0.032985	0.079175	0.03621	0.168986	
Sample_64	0.004084	0.30429	0.024341	0.072594	0.078448	1e-05	0.195657	0.026168	0.056429	0.083131	0.032002	0.038649	0.084197	
Sample_65	0.000567	0.330032	0.015369	0.088028	0.053275	0.027044	0.182752	0.018345	0.055101	0.03996	0.027478	0.05119	0.110859	
Sample_66	0.000322	0.314517	0.016372	0.110848	0.051421	0.019752	0.162457	0.000906	0.042928	0.064159	0.075143	0.011324	0.129851	
Sample_67	0.02325	0.281489	0.020431	0.126637	0.047435	2.4e-05	0.170953	0.006011	0.083574	0.028437	0.03435	0.019488	0.157922	
Sample_68	0.009412	0.323831	0.011087	0.114753	0.012549	0.009875	0.214765	0.007871	0.066428	0.022208	0.028561	0.010734	0.167924	
Sample_69	0.020474	0.273408	0.011428	0.080822	0.032992	0.023001	0.221146	0.020082	0.076256	0.041516	0.040075	0.015582	0.143219	
Sample_70	0.010958	0.308299	0.008418	0.077353	0.064691	0.003213	0.211699	0.005222	0.075673	0.029328	0.064619	0.006223	0.134303	
Sample_71	0.008083	0.310259	0.035775	0.110907	0.031388	0.015292	0.200267	0.007455	0.049381	0.063229	0.020663	0.01879	0.128511	
Sample_72	0.011459	0.307095	0.042388	0.109935	0.03666	0.024045	0.2084	0.000329	0.077092	0.052786	0.013318	0.014922	0.101572	
Sample_73	0.007359	0.3459	0.020521	0.10739	0.01246	0.005743	0.251907	0.00115	0.055277	0.065181	0.014315	0.017035	0.095763	
Sample_74	0.008935	0.319873	0.015575	0.083122	0.027641	0.005378	0.244085	0.0084	0.076607	0.059029	0.017591	0.017735	0.116029	
Sample_75	0.017779	0.312388	0.006014	0.12967	0.019982	0.006783	0.21355	0.001821	0.066411	0.05197	0.040532	0.036466	0.096635	
Sample_76	0.008762	0.274904	0.026449	0.148139	0.011001	0.007725	0.218377	0.006298	0.057614	0.060568	0.04906	0.0252	0.105902	
Sample_77	0.00489	0.304378	0.023009	0.052552	0.023665	0.011916	0.252716	0.000228	0.081696	0.058205	0.021792	0.043087	0.121864	
Sample_78	0.016129	0.298182	0.019017	0.051485	0.022529	0.015698	0.223501	0.007822	0.111438	0.04846	0.039165	0.032079	0.114495	
Sample_79	0.003538	0.302524	0.000162	0.0668	0.034177	0.009656	0.264538	0.000222	0.13831	0.033226	0.011453	0.01956	0.115834	
Sample_80	0.008711	0.274017	0.036087	0.038084	0.028811	0.008049	0.244222	0.034872	0.086612	0.050747	0.007566	0.0306	0.151621	
Sample_81	0.00395	0.237861	0.01729	0.055163	0.038767	7e-06	0.242286	0.009935	0.132381	0.066395	0.035275	0.031785	0.128905	
Sample_82	0.010792	0.287168	0.00608	0.109312	0.003905	2e-05	0.246751	0.00049	0.123048	0.055885	0.00773	0.026801	0.122019	
Sample_83	0.028234	0.243463	0.014564	0.114028	0.00632	1.3e-05	0.241846	0.010178	0.119319	0.048189	0.025915	0.035319	0.112612	
Sample_84	0.000284	0.279182	0.011337	0.038127	0.042065	0.00439	0.295535	0.014605	0.033983	0.0381	0.019829	0.015236	0.207327	
Sample_85	0.010745	0.264523	0.007789	0.062519	0.003503	0.008349	0.276104	0.000655	0.041543	0.046333	0.015477	0.034617	0.227843	
Sample_86	0.006073	0.265459	0.022457	0.053085	0.039977	0.009677	0.231991	0.00288	0.015459	0.094641	0.052532	0.023415	0.182354	
Sample_87	0.004939	0.328875	0.007836	0.102448	0.023605	0.006584	0.301	0.008238	0.01314	0.02187	0.026508	0.025255	0.129703	
Sample_88	0.002191	0.334228	0.007102	0.102718	0.020188	0.006778	0.304736	0.006041	0.010785	0.023186	0.027441	0.020737	0.133869	
Sample_89	0.004949	0.333355	0.007432	0.104872	0.027213	0.006495	0.304169	0.004842	0.010158	0.022551	0.026935	0.026175	0.120855	
Sample_90	0.000706	0.271137	0.027886	0.09139	0.029283	1.2e-05	0.305295	0.009049	0.04599	0.033971	0.011909	0.026541	0.14683	
Sample_91	0.008248	0.344661	0.004417	0.08577	0.010948	0.002631	0.253152	0.002931	0.031615	0.058804	0.005189	0.014828	0.176807	
Sample_92	0.006946	0.265289	0.080334	0.061422	0.018684	0.023485	0.206625	0.034512	0.029682	0.055795	0.047098	0.086122	0.084007	
Sample_93	0.005133	0.293621	0.060124	0.090351	0.021489	0.017897	0.189392	0.018069	0.057512	0.052978	0.00771	0.089997	0.095727	
Sample_94	0.045377	0.245613	0.031874	0.085344	0.06132	0.008617	0.14936	0.010552	0.087245	0.069237	0.061358	0.065571	0.078533	
Sample_95	0.015845	0.340632	0.008021	0.118872	0.025808	0.0024	0.172902	0.004753	0.071367	0.064703	0.025229	0.005923	0.143547	
Sample_96	0.00825	0.334439	0.016911	0.112551	0.018997	0.008415	0.172447	0.007755	0.074914	0.069438	0.011644	0.015257	0.148981	
Sample_97	0.004326	0.350013	0.015926	0.103592	0.022392	0.007753	0.165511	0.002497	0.051191	0.086747	0.022655	0.037866	0.129532	
Sample_98	0.005861	0.377762	0.019957	0.127371	0.009201	0.00598	0.142276	0.007264	0.07163	0.048706	0.008694	0.014496	0.160801	
Sample_99	0.008465	0.413966	0.010154	0.112645	0.026355	0.009572	0.140266	0.002745	0.065893	0.05943	0.024877	0.029114	0.096517	
