	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_44	8.1e-05	0.012453	0.402921	0.180497	0.044488	0.0	1e-06	0.045834	0.0001	0.290845	0.004837	0.008245	0.009699	
Sample_45	0.050923	0.0	0.411407	0.087606	0.029796	0.0	0.005508	0.030223	0.015066	0.303188	0.02098	0.012469	0.032835	
Sample_46	6.9e-05	0.0	0.448493	0.088468	0.019856	0.0	0.007985	0.021814	0.014791	0.333387	0.019194	0.010051	0.035894	
Sample_47	0.07841	0.0	0.411465	0.06013	0.04851	0.009917	0.0	0.027861	0.014325	0.280378	0.023779	0.04067	0.004555	
Sample_48	6.7e-05	0.014845	0.307462	0.113762	0.081008	0.016918	0.007598	0.04758	0.013417	0.279708	0.086117	0.019793	0.011725	
Sample_49	0.065147	0.0	0.336692	0.057522	0.069999	0.015308	0.013561	0.017367	0.03569	0.186843	0.120945	0.058278	0.022645	
Sample_50	0.131376	0.014274	0.401903	0.010204	0.055594	0.0	0.003318	0.000531	3e-05	0.20948	0.028284	0.138744	0.006262	
Sample_51	0.056139	0.0	0.394922	0.024911	0.025095	0.0	0.016138	0.013612	8.4e-05	0.290946	0.025582	0.119982	0.032588	
Sample_52	0.000135	0.043044	0.488423	0.054384	0.081657	0.0	1e-06	0.000585	0.003357	0.196372	0.018148	0.105604	0.00829	
Sample_53	0.034846	0.005236	0.449278	0.093271	0.060115	0.0	0.010808	0.043226	3.5e-05	0.116273	0.044503	0.130798	0.011612	
Sample_54	0.06321	0.0	0.481476	0.052601	0.041685	0.033156	1e-06	0.020569	0.015467	0.171229	0.028201	0.054613	0.037793	
Sample_55	0.06149	0.009288	0.430647	0.070608	0.019472	0.0	1e-06	0.073759	0.005316	0.192985	0.052932	0.0671	0.016401	
Sample_56	0.006982	0.015209	0.253273	0.044702	0.063571	0.0	1e-06	0.216761	7.9e-05	0.300986	0.023733	0.063585	0.011118	
Sample_57	0.012889	0.0	0.239542	0.074744	0.04652	0.0	0.0	0.229829	0.01647	0.264017	0.038969	0.069428	0.007591	
Sample_58	0.063623	0.0	0.264066	0.072715	0.030046	0.0	0.0	0.137542	0.018245	0.336853	0.046202	0.02503	0.005679	
Sample_59	0.060114	0.009433	0.218411	0.195334	0.092063	0.0	0.0	0.039592	0.023231	0.268974	0.006815	0.055148	0.030885	
Sample_60	0.040888	0.0	0.213632	0.193077	0.050773	0.0	0.001749	0.04407	0.011374	0.33829	0.034663	0.053464	0.01802	
Sample_61	0.000124	0.0	0.171793	0.231624	0.001658	0.0	0.009263	0.050419	0.003987	0.394908	0.033687	0.098965	0.003571	
Sample_62	0.000101	0.0	0.359542	0.243754	0.043809	0.0	0.00639	0.083537	8.7e-05	0.247272	0.004353	0.003564	0.007592	
Sample_63	4.6e-05	0.0	0.295106	0.32039	0.032088	0.0	0.0	0.019495	6.1e-05	0.29116	0.016602	0.005898	0.019155	
Sample_64	0.145444	0.0	0.304691	0.164626	0.017254	0.0	0.015009	0.078465	0.07307	0.0985	0.046041	0.037666	0.019233	
Sample_65	0.135237	0.0	0.31893	0.165189	0.019902	0.0	0.019351	0.081934	0.072709	0.098745	0.035961	0.032746	0.019297	
Sample_66	0.04586	0.0	0.304019	0.231847	0.000609	0.007411	1e-06	0.141051	0.068345	0.07354	0.095428	0.001903	0.029987	
Sample_67	3.1e-05	0.0	0.481889	0.213389	0.022	0.0	0.008415	0.03094	0.011382	0.147164	0.025391	0.046592	0.012805	
Sample_68	0.017625	0.0	0.381933	0.287613	0.028691	0.005745	0.003807	0.054411	0.001936	0.120055	0.032508	0.056464	0.009211	
Sample_69	0.096806	0.0	0.436549	0.144431	0.078786	0.026912	1e-06	0.046414	0.011683	0.126914	0.010391	0.011525	0.009589	
Sample_70	0.07229	0.0	0.376481	0.145484	0.099504	0.026388	1e-06	0.077331	9.3e-05	0.160162	0.016941	0.021373	0.003953	
Sample_71	0.021173	0.010868	0.442874	0.157885	0.087182	0.0	0.011019	0.051896	0.003284	0.164289	0.007799	0.033148	0.008582	
Sample_72	0.047441	0.0	0.359486	0.206296	0.073558	0.0	0.018469	0.064466	6.2e-05	0.139778	0.028101	0.048922	0.013422	
Sample_73	0.062189	0.0	0.373501	0.166515	0.042529	0.0	0.007793	0.046523	0.028264	0.152309	0.062706	0.044604	0.013068	
Sample_74	0.073231	0.0	0.36204	0.197745	0.070606	0.0	0.0	0.024788	5.5e-05	0.198331	0.031219	0.028876	0.013108	
Sample_75	5.8e-05	0.0	0.346226	0.169369	0.058831	0.01146	0.0	0.161582	0.003955	0.143618	0.025708	0.052593	0.026599	
Sample_76	0.030286	0.0	0.353352	0.178898	0.108577	0.0	0.004896	0.12502	0.019738	0.088039	0.0342	0.049415	0.00758	
Sample_77	0.050054	0.0	0.307943	0.176938	0.045928	0.0	0.001878	0.022918	0.021917	0.168034	0.032067	0.165217	0.007107	
Sample_78	0.036413	0.0	0.380155	0.185301	0.065397	0.010406	1e-06	0.02891	0.000112	0.148767	0.000659	0.12268	0.021199	
Sample_79	0.10376	0.0	0.313039	0.143468	0.090902	0.0	0.0	0.020758	0.010486	0.209531	0.010973	0.088247	0.008836	
Sample_80	0.168382	0.0	0.286291	0.134418	0.083332	0.0	0.005372	0.032083	0.010493	0.183467	0.020829	0.059096	0.016237	
Sample_81	0.12533	0.0	0.363131	0.058466	0.1352	0.0	0.0	0.018214	0.01726	0.194962	0.010137	0.063598	0.013702	
Sample_82	0.163612	0.0	0.386003	0.08182	0.056999	0.0	0.039119	0.051862	0.024641	0.134891	0.015899	0.037721	0.007433	
Sample_83	0.223994	0.0	0.38177	0.081817	0.054677	0.0	0.010173	0.028984	0.000108	0.167043	0.012566	0.017882	0.020986	
Sample_84	0.210224	0.0	0.262639	0.078584	0.136129	0.0	0.010538	0.063	0.017292	0.119725	0.04243	0.040768	0.01867	
Sample_85	0.197403	0.0	0.267056	0.085163	0.112598	0.0	1e-06	0.092936	0.005777	0.199894	0.004353	0.023519	0.011301	
Sample_86	0.11696	0.0	0.236883	0.139893	0.090039	0.0	0.028256	0.064473	0.015827	0.187204	0.05074	0.045189	0.024536	
Sample_87	0.112421	0.0	0.285977	0.156665	0.053362	0.0	0.018139	0.120396	5.7e-05	0.203404	0.023175	0.016065	0.01034	
Sample_88	0.078746	0.018972	0.275051	0.07801	0.223889	0.0	2e-06	0.107928	0.000265	0.087613	0.077776	0.033937	0.017812	
Sample_89	0.000124	0.035731	0.282257	0.11364	0.163297	0.0	2e-06	0.096738	0.00033	0.197044	0.096333	0.007081	0.007425	
Sample_90	0.076088	0.0	0.262742	0.003632	0.258797	0.044096	1e-06	0.015414	0.054722	0.190521	0.07791	0.00283	0.013246	
Sample_91	2.2e-05	0.0	0.474844	0.102949	0.277988	0.0	0.001482	0.01623	1.8e-05	0.087882	0.006337	0.013781	0.018467	
Sample_92	0.139846	0.0	0.131299	0.041525	0.000517	0.022674	1e-06	0.071019	0.036639	0.384791	0.10876	0.062895	3.4e-05	
Sample_93	0.19744	0.0	0.098304	0.006274	0.06276	0.079597	1e-06	0.013643	0.049042	0.427224	0.010541	0.032153	0.02302	
Sample_94	0.178169	0.0	0.139968	0.096933	0.006445	0.034721	1e-06	0.001904	0.119475	0.313384	0.027733	0.070968	0.010299	
Sample_95	0.032574	0.0	0.147272	0.006607	0.111014	0.0	0.0	0.01774	0.047933	0.50849	0.020988	0.103151	0.004231	
Sample_96	7.3e-05	0.025738	0.229167	0.027511	0.142109	0.0	1e-06	0.041545	0.000141	0.432595	0.044795	0.036714	0.019612	
Sample_97	0.073218	0.0	0.259904	0.049843	0.083253	0.0	0.003089	0.022956	4.3e-05	0.484314	0.003648	0.010163	0.009569	
Sample_98	0.123574	0.0	0.21378	0.056549	0.067206	0.0	0.013736	0.008235	3.7e-05	0.46557	0.012024	0.021044	0.018245	
Sample_99	0.180119	0.0	0.231486	0.000601	0.024497	0.0	0.0	0.000428	0.008563	0.52963	0.016199	0.004671	0.003806	
