	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	
Sample_1	0.552691	0.146952	0.270055	0.030302	
Sample_2	0.564597	0.082864	0.282209	0.07033	
Sample_3	0.624544	0.078802	0.286575	0.010079	
Sample_4	0.619965	0.079396	0.295589	0.005051	
Sample_5	0.6473	0.07134	0.269787	0.011573	
Sample_6	0.681968	0.026802	0.290775	0.000455	
Sample_7	0.552935	0.064313	0.378683	0.004069	
Sample_8	0.558867	0.064684	0.366516	0.009932	
Sample_9	0.569453	0.077517	0.35282	0.00021	
Sample_10	0.567503	0.036239	0.372039	0.024219	
Sample_11	0.54677	0.051386	0.398104	0.00374	
Sample_12	0.635103	0.002651	0.34709	0.015155	
Sample_13	0.643453	0.012215	0.326413	0.01792	
Sample_14	0.604024	0.005057	0.357004	0.033914	
Sample_15	0.53642	0.008311	0.383469	0.071801	
Sample_16	0.491914	0.07513	0.432694	0.000263	
Sample_17	0.470013	0.112207	0.396942	0.020838	
Sample_18	0.800807	0.014462	0.184058	0.000673	
Sample_19	0.372712	0.236587	0.381636	0.009065	
Sample_20	0.018585	0.038963	0.911639	0.030813	
Sample_21	0.020345	0.019637	0.934319	0.025699	
Sample_22	0.001164	0.007444	0.951217	0.040175	
Sample_23	0.003611	0.009874	0.948495	0.038021	
Sample_24	0.000456	0.012508	0.949474	0.037562	
Sample_25	0.000739	0.016941	0.940695	0.041625	
Sample_26	0.000449	0.019882	0.927978	0.051691	
Sample_27	0.000851	0.002939	0.921038	0.075172	
Sample_28	0.005063	0.007498	0.908945	0.078494	
Sample_29	0.000445	0.006336	0.925692	0.067526	
Sample_30	0.000459	0.00705	0.925447	0.067044	
Sample_31	0.025813	0.044512	0.867459	0.062215	
Sample_32	0.044816	0.010645	0.914737	0.029802	
Sample_33	0.057901	0.014586	0.882528	0.044985	
Sample_34	0.041547	0.005085	0.856806	0.096561	
Sample_35	0.038444	0.006266	0.871944	0.083346	
Sample_36	0.018803	0.016758	0.869929	0.09451	
Sample_37	0.026994	0.024615	0.858301	0.09009	
Sample_38	0.000529	0.007597	0.883186	0.108687	
Sample_39	0.000546	0.020289	0.865866	0.113299	
Sample_40	0.011868	0.089438	0.873048	0.025646	
Sample_41	0.000521	0.073091	0.917554	0.008833	
Sample_42	0.036101	0.376997	0.001577	0.585325	
Sample_43	0.001048	0.289185	0.092464	0.617303	
Sample_44	0.070238	0.165074	0.00251	0.762178	
Sample_45	0.01589	0.475454	0.091498	0.417157	
Sample_46	0.090668	0.443978	0.038387	0.426968	
Sample_47	0.186115	0.398304	0.041963	0.373618	
Sample_48	0.182415	0.522912	0.047767	0.246906	
Sample_49	0.208679	0.598545	0.003913	0.188863	
Sample_50	0.266078	0.624082	0.050074	0.059766	
Sample_51	0.112743	0.597487	0.107661	0.182109	
Sample_52	0.077923	0.61727	0.10762	0.197187	
Sample_53	0.088612	0.597536	0.157315	0.156537	
Sample_54	0.076074	0.641412	0.142059	0.140456	
Sample_55	0.162824	0.536285	0.108654	0.192236	
Sample_56	0.151997	0.565495	0.109303	0.173205	
Sample_57	0.027833	0.672095	0.094703	0.205369	
Sample_58	0.007635	0.68738	0.056356	0.24863	
Sample_59	0.000463	0.688436	0.142197	0.168904	
Sample_60	0.049169	0.52096	0.20172	0.228151	
Sample_61	0.03227	0.815945	0.039456	0.112329	
Sample_62	0.067234	0.741062	0.029708	0.161997	
Sample_63	0.101825	0.760934	0.00215	0.135091	
Sample_64	0.103424	0.779119	0.012712	0.104744	
Sample_65	0.102457	0.79209	0.039651	0.065803	
Sample_66	0.081441	0.791511	0.035714	0.091334	
Sample_67	0.032256	0.783839	0.090293	0.093612	
Sample_68	0.02299	0.778826	0.103942	0.094242	
Sample_69	0.000375	0.782973	0.103558	0.113094	
Sample_70	0.029228	0.733387	0.126827	0.110558	
Sample_71	0.002513	0.774986	0.152418	0.070083	
Sample_72	0.088936	0.722557	0.109938	0.078569	
Sample_73	0.070402	0.740321	0.116619	0.072658	
Sample_74	0.082938	0.784415	0.079076	0.053571	
Sample_75	0.076801	0.78356	0.091558	0.048081	
Sample_76	0.060838	0.755834	0.095222	0.088106	
Sample_77	0.060681	0.771896	0.080962	0.086461	
Sample_78	0.069622	0.775001	0.062611	0.092766	
Sample_79	0.051112	0.748095	0.084189	0.116604	
Sample_80	0.05711	0.763699	0.071968	0.107223	
Sample_81	0.000324	0.954594	0.044703	0.000379	
Sample_82	0.023697	0.932494	0.027381	0.016428	
Sample_83	0.037272	0.899888	0.012261	0.05058	
Sample_84	0.050953	0.867466	0.034137	0.047445	
Sample_85	0.034336	0.871446	0.08348	0.010738	
Sample_86	0.038941	0.841097	0.093453	0.026509	
Sample_87	0.147531	0.71166	0.040586	0.100223	
Sample_88	0.141525	0.691202	0.05652	0.110753	
Sample_89	0.189868	0.708543	0.024395	0.077194	
Sample_90	0.117678	0.769796	0.065446	0.04708	
Sample_91	0.139257	0.771705	0.05683	0.032208	
Sample_92	0.139609	0.725467	0.089884	0.04504	
Sample_93	0.092115	0.835982	0.059321	0.012582	
Sample_94	0.113072	0.799001	0.066327	0.0216	
Sample_95	0.071077	0.701465	0.205561	0.021898	
Sample_96	0.058073	0.77774	0.142048	0.022139	
Sample_97	0.119044	0.663914	0.14277	0.074271	
