	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_49	0.307646	0.619844	0.0	0.0	0.013857	0.0	0.0	0.0	0.0	0.003915	0.043483	0.011256	0.0	
Sample_50	0.253467	0.590416	0.0	0.01527	0.071831	0.0	0.0	0.0	0.011451	0.017668	0.039897	0.0	0.0	
Sample_51	0.215248	0.673015	0.0	0.024758	0.0	0.0	0.0	0.0	0.0	0.023577	0.063403	0.0	0.0	
Sample_52	0.180216	0.75405	0.0	0.012118	0.0	0.0	0.0	0.0	0.023873	0.0	0.029743	0.0	0.0	
Sample_53	0.217067	0.556207	0.0	0.065523	0.022899	0.0	0.0	0.0	0.117835	0.0	0.020469	0.0	0.0	
Sample_54	0.0	0.0	0.0	0.0	0.97652	0.0	0.0	0.0	0.02348	0.0	0.0	0.0	0.0	
Sample_55	0.0	0.0	0.0	0.0	0.983428	0.0	0.0	0.0	0.016571	0.0	0.0	0.0	0.0	
Sample_56	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sample_57	0.0	0.0	0.0	0.0	0.999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sample_58	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sample_59	0.0	0.0	0.0	0.0	0.999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sample_60	0.0	0.0	0.0	0.0	0.904677	0.0	0.0	0.035423	0.059899	0.0	0.0	0.0	0.0	
Sample_61	0.0	0.0	0.0	0.0	0.409414	0.208023	0.0	0.0	0.0	0.0	0.295133	0.0	0.08743	
Sample_62	0.0	0.0	0.0	0.0	0.0	0.0	0.841153	0.0	0.158846	0.0	0.0	0.0	0.0	
Sample_63	0.0	0.0	0.0	0.0	0.0	0.931704	0.0	0.0	0.068295	0.0	0.0	0.0	0.0	
Sample_64	0.0	0.0	0.925067	0.0	0.0	0.0	0.0	0.0	0.022978	0.051954	0.0	0.0	0.0	
Sample_65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0064	0.0	0.0	0.0	0.9936	
Sample_66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999999	0.0	0.0	0.0	0.0	0.0	
