	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	
Sample_1	0.01383	3e-05	0.102699	0.867125	0.000795	0.015522	
Sample_2	0.027268	4.8e-05	0.007124	0.896394	0.031812	0.037353	
Sample_3	0.034612	4.8e-05	0.233755	0.682983	0.027288	0.021315	
Sample_4	2e-06	0.00458	0.263029	0.657914	0.074469	7e-06	
Sample_5	0.02353	0.011337	0.453916	0.413173	0.07324	0.024805	
Sample_6	0.036025	5.1e-05	0.938221	6e-06	1.6e-05	0.025681	
Sample_7	0.216844	0.172016	0.00519	0.112747	0.39678	0.096424	
Sample_8	0.15369	0.202869	0.027355	0.029578	0.517496	0.069012	
Sample_9	0.138163	0.104794	0.119165	0.082031	0.431884	0.123962	
Sample_10	0.018361	0.023996	0.013207	0.062101	0.741915	0.14042	
Sample_11	0.004479	0.000227	2e-06	1.3e-05	0.916398	0.078881	
Sample_12	3e-06	0.575835	3e-06	0.083205	0.165433	0.175521	
Sample_13	0.03171	0.51664	0.093955	1.2e-05	0.251001	0.106682	
Sample_14	3e-06	0.833605	0.008451	0.076114	0.033431	0.048396	
Sample_15	0.009081	0.796595	0.069191	0.04064	0.039733	0.04476	
Sample_16	1e-06	0.999951	2e-06	9e-06	2.8e-05	9e-06	
Sample_17	2e-06	0.944218	2e-06	0.055752	2.1e-05	5e-06	
Sample_18	3e-06	0.725506	0.124998	0.06263	0.058385	0.028478	
Sample_19	0.003215	0.704626	0.047678	0.185676	2.7e-05	0.058778	
Sample_20	0.039193	0.758621	2e-06	1e-05	0.174639	0.027534	
Sample_21	3e-06	0.810579	3e-06	0.00495	0.184454	1.1e-05	
Sample_22	2e-06	0.76319	0.069176	7e-06	0.154066	0.01356	
Sample_23	2e-06	0.726588	0.071313	2.5e-05	0.161597	0.040474	
Sample_24	0.015798	0.688299	3e-06	0.105277	0.190609	1.3e-05	
Sample_25	0.250239	0.585055	2e-06	0.077009	0.064471	0.023224	
Sample_26	0.014923	0.517963	3e-06	0.236363	0.230733	1.5e-05	
Sample_27	0.942312	0.057631	3e-06	1.2e-05	3.2e-05	1.1e-05	
Sample_28	0.995286	8.6e-05	2e-06	1e-05	3.4e-05	0.004581	
Sample_29	0.021647	5.6e-05	0.042015	6e-06	1.9e-05	0.936258	
