	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	Predicted_signature_15	Predicted_signature_16	Predicted_signature_17	Predicted_signature_18	
Sample_50	0.009503	0.0	0.0	0.19867	0.050143	0.00595	0.023616	0.031473	0.017042	0.007414	0.126729	0.083419	0.01733	1.1e-05	0.051774	0.277765	0.073142	0.026019	
Sample_51	1.3e-05	0.0	0.0	0.195328	0.039749	0.000369	0.0	0.010004	0.050261	0.013862	0.158592	0.065908	0.008031	1.4e-05	0.046444	0.280841	0.121717	0.008867	
Sample_52	3e-06	0.0	0.0	0.14407	0.062521	0.015755	0.0	0.031095	0.047672	0.017539	0.147384	0.095771	0.017025	1.1e-05	0.061472	0.276973	0.065537	0.017173	
Sample_53	0.005371	0.0	0.0	0.167834	0.070162	0.006737	0.0	0.023715	0.033863	2.3e-05	0.139681	0.092243	0.005358	0.007915	0.077156	0.30885	0.049218	0.011874	
Sample_54	6e-06	0.0	0.0	0.157797	0.066362	0.004496	0.0	0.042024	0.042763	4.3e-05	0.123017	0.06807	0.006472	0.01111	0.074943	0.272262	0.093193	0.037442	
Sample_55	0.008928	0.0	0.0	0.217495	0.082855	0.008064	0.007285	0.032934	0.049213	0.007574	0.138558	0.082686	0.012225	1.2e-05	0.04866	0.233137	0.056242	0.014133	
Sample_56	2e-06	0.0	0.0	0.220139	0.080243	0.004884	0.0	0.022635	0.056595	1.5e-05	0.128812	0.073101	0.012555	0.007276	0.06123	0.234866	0.081544	0.016104	
Sample_57	3e-06	0.0	0.0	0.24257	0.05522	0.01102	0.0	0.046406	0.058021	0.010914	0.138686	0.06436	0.005439	8e-06	0.047729	0.243417	0.062046	0.014163	
Sample_58	4e-06	0.0	0.0	0.227312	0.075762	0.001036	0.029809	0.039339	0.036625	0.01371	0.118955	0.068662	0.025887	0.004767	0.028829	0.237981	0.074473	0.016848	
Sample_59	0.033915	0.013151	0.0	0.199509	0.075683	0.015357	0.0	0.034095	0.016771	0.02304	0.109887	0.073021	0.013383	0.008627	0.028534	0.240876	0.084249	0.029901	
Sample_60	0.05212	0.007721	0.0	0.144856	0.098541	0.012376	0.0	0.043674	0.064002	0.011722	0.128121	0.055422	0.0218	2.2e-05	0.038547	0.256884	0.049381	0.014811	
Sample_61	0.050239	0.0	0.0	0.131702	0.050671	0.020405	0.0	0.045563	0.045558	3.4e-05	0.160255	0.070185	0.018681	0.018561	0.039154	0.247398	0.071488	0.030106	
Sample_62	0.010942	0.021842	0.0	0.173693	0.051402	0.018935	0.0	0.05938	0.048534	7.6e-05	0.191885	0.065615	0.025241	0.008614	0.048216	0.18783	0.053238	0.034557	
Sample_63	0.018419	0.025981	0.0	0.17181	0.034928	0.028108	0.0	0.024034	0.069333	1.5e-05	0.183646	0.077367	0.016148	0.011396	0.049095	0.21432	0.048726	0.026674	
Sample_64	2e-06	0.010484	0.0	0.207621	0.037114	0.015817	0.0	0.030316	0.063864	1.4e-05	0.234253	0.070778	0.021378	0.005518	0.037912	0.205295	0.04603	0.013604	
Sample_65	3e-06	0.0	0.011404	0.199916	0.053078	0.03428	0.0	0.037008	0.033639	0.017867	0.18556	0.054443	0.007086	0.003302	0.057894	0.223643	0.038042	0.042835	
Sample_66	0.039074	0.0	0.0	0.1887	0.072323	0.010684	0.0	0.020793	0.049541	3.4e-05	0.194247	0.094456	0.006276	0.013306	0.044208	0.209694	0.024698	0.031966	
Sample_67	0.021881	0.0	0.0	0.218899	0.056764	0.011961	0.0	0.041954	0.065979	0.016996	0.15758	0.109013	0.010227	0.005162	0.031891	0.183647	0.05314	0.014906	
Sample_68	0.015713	0.0	0.0	0.185426	0.056344	0.010708	0.0	0.039373	0.051772	0.040429	0.19261	0.10959	0.021321	0.011704	0.035727	0.163687	0.059384	0.006213	
Sample_69	0.007314	0.0	0.0	0.200426	0.081568	0.00902	0.0	0.024638	0.057545	0.020738	0.203715	0.064697	0.018215	0.06217	0.02803	0.151308	0.043651	0.026966	
Sample_70	6e-06	0.0	0.0	0.216009	0.072723	0.014147	0.0	0.019062	0.047505	0.035724	0.25532	0.059419	0.029632	0.016868	0.03475	0.16303	0.027887	0.007918	
Sample_71	0.048732	0.0	0.0	0.11357	0.062569	0.021064	0.009089	0.023825	0.041337	0.015294	0.149042	0.151657	0.029304	0.014701	0.039483	0.215263	0.053552	0.011518	
Sample_72	0.039327	0.0	0.0	0.148929	0.111086	0.006489	0.0	0.017409	0.052663	0.005473	0.15249	0.13663	0.013653	0.013825	0.037907	0.189116	0.062421	0.012582	
Sample_73	0.007795	0.0	0.0	0.139043	0.082245	0.017527	0.0	0.018735	0.041474	0.015963	0.1316	0.133411	0.010491	4e-06	0.055621	0.253796	0.046552	0.045742	
Sample_74	0.03864	0.0	0.0	0.125292	0.077835	0.025406	0.0	0.025312	0.023058	0.055501	0.155742	0.098524	0.022687	0.037033	0.04069	0.181209	0.064303	0.028765	
Sample_75	0.018602	0.0	0.0	0.104894	0.130564	0.017117	0.0	0.008065	0.042969	0.062856	0.172649	0.086053	0.012448	0.03067	0.038197	0.195879	0.044386	0.034651	
Sample_76	0.040321	0.007402	0.0	0.197924	0.084672	0.011249	0.0	0.03037	0.021776	3.9e-05	0.154281	0.102966	0.021812	0.006645	0.055516	0.235834	0.023558	0.005635	
Sample_77	0.020906	0.0	0.0	0.187262	0.110658	0.003244	0.020396	0.011925	0.00225	0.010125	0.174474	0.134622	0.008191	0.010275	0.043748	0.230622	0.028032	0.00327	
Sample_78	0.021413	0.0	0.0	0.186322	0.114789	0.006533	0.0	0.030571	0.028997	0.00962	0.145617	0.099742	0.038787	0.00811	0.045252	0.198421	0.055769	0.010057	
Sample_79	0.039697	0.0	0.012458	0.218071	0.157728	0.003804	0.0	0.029635	0.029015	1.7e-05	0.133807	0.104153	0.012276	0.030963	0.030283	0.185297	0.008782	0.004016	
Sample_80	0.070838	0.0	0.0	0.168444	0.11622	0.004866	0.0	0.039297	0.007689	0.025717	0.196213	0.096197	0.004349	0.018891	0.032658	0.160335	0.045209	0.013077	
Sample_81	0.06904	0.0	0.0	0.155503	0.09141	0.000222	0.00935	0.048151	0.002682	0.048167	0.154674	0.108112	0.003062	0.02584	0.02815	0.205837	0.034582	0.015218	
Sample_82	0.026736	0.0	0.0	0.163643	0.114236	0.01187	0.005287	0.018304	0.044119	2.9e-05	0.10999	0.053206	0.039161	0.004974	0.058427	0.234021	0.055647	0.06035	
Sample_83	3e-06	0.0	0.0	0.167484	0.148579	0.01483	0.004129	0.027776	0.022051	0.013144	0.103316	0.061963	0.025387	8e-06	0.035891	0.234599	0.05203	0.088813	
Sample_84	3e-06	0.0	0.0	0.146429	0.112697	0.0004	0.0	0.000953	0.043329	0.021266	0.154179	0.055947	0.019558	9e-06	0.07141	0.249167	0.047972	0.07668	
Sample_85	0.007287	0.0	0.005343	0.111932	0.1639	0.016178	0.0	0.02222	0.013873	3e-05	0.161323	0.081517	0.013486	0.004307	0.058307	0.274594	0.049606	0.016098	
Sample_86	0.004985	0.0	0.0	0.143672	0.103477	0.003477	0.0	0.042204	0.024212	0.05444	0.102672	0.058214	0.003638	0.00728	0.085846	0.312345	0.044455	0.009083	
Sample_87	0.022266	0.0	0.0	0.124278	0.12954	0.003941	0.011153	0.020869	0.064422	2.6e-05	0.074009	0.077456	0.061421	0.032231	0.064719	0.250482	0.028213	0.034973	
Sample_88	0.054138	0.0	0.021018	0.115834	0.163503	0.011814	0.0	0.005917	0.028869	0.014052	0.076445	0.076447	0.091054	0.017891	0.045212	0.211448	0.009556	0.056803	
Sample_89	1.5e-05	0.0	0.0	0.142217	0.036824	0.000564	0.0	0.013102	0.007534	0.036119	0.164392	0.018132	0.006841	0.009605	0.062166	0.447522	0.046676	0.008291	
Sample_90	2e-06	0.006848	0.0	0.163518	0.023356	0.001575	0.0	0.01757	0.038831	1.2e-05	0.164032	0.006449	0.009928	5e-06	0.05017	0.43079	0.082019	0.004893	
Sample_91	5e-06	0.041333	0.0	0.139421	0.036403	0.008146	0.0	0.007223	0.041923	3.7e-05	0.139938	0.024864	0.012771	0.00556	0.037745	0.472737	0.025683	0.00621	
Sample_92	0.001262	0.0	0.0	0.126416	0.025462	0.008284	0.0	0.013619	0.016231	0.006731	0.187493	0.061179	0.008731	4e-06	0.074637	0.427016	0.028519	0.014417	
Sample_93	4e-06	0.0	0.0	0.126929	0.056744	0.005659	0.0	0.020588	0.03077	0.000902	0.186124	0.038202	0.008603	0.011435	0.065325	0.389817	0.03845	0.020448	
Sample_94	0.02909	0.0	0.0	0.138967	0.042391	5.4e-05	0.0	0.010355	0.004353	3.1e-05	0.169897	0.04599	0.002528	0.011951	0.101203	0.426559	0.007414	0.009219	
Sample_95	4e-06	0.0	0.0	0.09295	0.010336	0.004918	0.018989	0.009737	0.003147	2.2e-05	0.154559	0.031791	0.005056	1.8e-05	0.107771	0.526623	0.019562	0.014517	
Sample_96	7.8e-05	0.01967	0.0	0.071332	0.039988	0.00499	0.0	0.007313	0.035576	0.015976	0.257867	0.02309	0.004434	0.027761	0.070307	0.384306	0.028486	0.008829	
Sample_97	0.021582	0.0	0.0	0.096687	0.027895	0.005139	0.00779	0.001895	0.002368	4.1e-05	0.240412	0.032964	0.006684	1.3e-05	0.079485	0.435007	0.033833	0.008206	
Sample_98	6e-06	0.0	0.0	0.148807	0.040221	0.00307	0.0	0.013025	0.067348	1.8e-05	0.232224	0.001703	0.00492	0.005336	0.062629	0.399	0.015718	0.005975	
Sample_99	0.044807	0.0	0.0	0.105923	0.009069	0.049134	0.0181	0.024066	0.04892	8.8e-05	0.180724	0.037452	0.006837	8e-05	0.098974	0.319938	0.027699	0.028186	
Sample_100	0.031683	0.0	0.0	0.179376	0.067404	0.016585	0.0	0.012762	0.027007	2.5e-05	0.142772	0.057201	0.038849	0.004995	0.045278	0.309782	0.064745	0.001536	
Sample_101	0.020049	0.0	0.0	0.143238	0.055632	0.007929	0.009135	0.019976	0.05513	1.9e-05	0.150568	0.048847	0.029036	0.02096	0.066097	0.276489	0.065225	0.031669	
Sample_102	0.020732	0.0	0.010692	0.147172	0.027422	0.001573	0.0	0.006441	0.032725	1.6e-05	0.156822	0.046437	0.023568	0.006617	0.048299	0.348024	0.087909	0.035551	
Sample_103	5e-06	0.0	0.0	0.162881	0.03539	0.010266	0.0	0.038418	0.034642	0.016143	0.168257	0.035515	0.009377	1.7e-05	0.067375	0.364274	0.055268	0.002171	
Sample_104	0.00516	0.0	0.0	0.204261	0.023514	0.006463	0.0	0.016397	0.03233	0.006368	0.204127	0.011801	0.019919	8e-06	0.059031	0.369666	0.038461	0.002494	
Sample_105	3e-06	0.014283	0.0	0.19632	0.045594	0.004042	0.0	0.013294	0.043276	1.3e-05	0.152487	0.053299	0.014741	5e-06	0.057298	0.336863	0.047123	0.021359	
Sample_106	4e-06	0.0	0.0	0.175803	0.042633	0.009863	0.007372	0.034011	0.043957	0.016901	0.129425	0.055065	0.028502	1.7e-05	0.065057	0.333283	0.03942	0.018687	
Sample_107	0.03437	0.012928	0.0	0.164711	0.023387	0.007219	0.0	0.011556	0.051731	0.019619	0.183646	0.04485	0.000769	0.007694	0.054435	0.348169	0.015488	0.019427	
Sample_108	0.025369	0.0	0.0	0.128424	0.084903	0.008192	0.0	0.019706	0.024913	0.032097	0.147373	0.05576	0.01604	1.4e-05	0.064016	0.308435	0.065318	0.01944	
Sample_109	0.057397	0.0	0.0	0.123503	0.088146	0.010342	0.0	0.008216	0.025454	0.01673	0.17761	0.053074	0.007249	0.020743	0.059058	0.303068	0.028193	0.021218	
Sample_110	0.007154	0.0	0.0	0.139267	0.100921	0.002211	0.0	0.019336	0.002941	0.002983	0.182543	0.054664	0.003655	0.013147	0.080145	0.356297	0.033116	0.001621	
Sample_111	3e-06	0.0	0.0	0.156371	0.094847	0.01018	0.0	0.012583	0.033908	3.6e-05	0.162461	0.020822	0.005556	7e-06	0.07297	0.37995	0.042612	0.007694	
Sample_112	3e-06	0.0	0.0	0.167254	0.08621	0.006359	0.0	0.044998	0.036579	1.3e-05	0.16095	0.042609	0.018676	0.002803	0.060164	0.323892	0.04416	0.00533	
Sample_113	0.016088	0.0	0.0	0.155922	0.060491	0.003468	0.012352	0.006236	0.007466	1.5e-05	0.235077	0.036326	0.00476	0.005322	0.06216	0.351412	0.037007	0.005897	
Sample_114	0.053715	0.0	0.0	0.1592	0.035074	0.004575	0.0	0.011731	0.002083	0.006718	0.219572	0.055216	0.002489	0.012522	0.052317	0.3503	0.022582	0.011904	
Sample_115	0.044134	0.027649	0.0	0.160452	0.045966	0.017943	0.0	0.004925	0.012831	0.044819	0.242297	0.029184	0.011784	1.2e-05	0.0504	0.270021	0.033126	0.004457	
Sample_116	0.017349	0.0	0.0	0.159399	0.004204	0.009845	0.0	0.07397	0.043962	2.4e-05	0.156851	0.012313	0.057783	0.005027	0.061229	0.339215	0.02948	0.02935	
Sample_117	0.034987	0.0	0.011296	0.15149	0.033805	0.012282	0.019927	0.01339	0.042246	3e-05	0.092816	0.029364	0.083578	1.4e-05	0.062714	0.332898	0.051485	0.027678	
Sample_118	6e-06	0.017827	0.0	0.14208	0.024586	0.011678	0.013125	0.02581	0.011846	0.013722	0.111369	0.185114	0.006242	0.005915	0.052808	0.276862	0.068606	0.032405	
Sample_119	0.028571	0.0	0.0	0.124892	0.09211	0.008127	0.0	0.047171	0.037429	0.019405	0.245937	0.040738	0.025449	0.003836	0.041343	0.210565	0.014086	0.060342	
Sample_120	0.070844	0.0	0.0	0.124135	0.101517	0.01131	0.0	0.010358	0.053517	0.021794	0.222584	0.06897	0.010534	0.015766	0.049461	0.176383	0.051771	0.011057	
Sample_121	0.013002	0.0	0.0	0.051687	0.130101	0.029529	0.0	0.058683	0.042895	7.7e-05	0.225824	0.091016	0.02563	2.7e-05	0.036681	0.229363	0.033032	0.032452	
Sample_122	9e-06	0.0	0.0	0.087883	0.033203	0.028071	0.020136	0.057108	0.038601	0.036916	0.202525	0.053018	0.020348	0.020459	0.07256	0.222834	0.067176	0.039153	
Sample_123	9e-06	0.0	0.0	0.038587	0.044744	0.000417	0.0	0.028883	0.053055	4.9e-05	0.2329	0.055237	0.045802	0.005749	0.086442	0.258659	0.074292	0.075176	
Sample_124	4e-06	0.0	0.0	0.14117	0.014121	0.004618	0.0	0.053053	0.102351	0.022009	0.359149	0.006872	0.03449	1.1e-05	0.048119	0.178626	0.026936	0.008472	
Sample_125	1e-06	0.0	0.0	0.17453	0.020346	0.004677	0.0	0.034946	0.107098	0.0176	0.296691	0.053439	0.010539	2e-06	0.038899	0.184362	0.046841	0.010029	
Sample_126	3e-06	0.010722	0.0	0.143627	0.043413	0.024013	0.0	0.04049	0.060764	0.031494	0.333465	0.032416	0.007894	1e-05	0.044253	0.190032	0.023528	0.013877	
Sample_127	5e-06	0.0	0.0	0.101811	0.061189	0.031326	0.0	0.038099	0.039464	0.027131	0.32457	0.0694	0.012056	0.015368	0.037385	0.199354	0.023422	0.019419	
Sample_128	3e-06	0.01065	0.0	0.12526	0.043041	0.018938	0.0	0.062373	0.079515	0.019419	0.276117	0.05036	0.008162	0.005371	0.035738	0.12834	0.091592	0.045122	
Sample_129	3e-06	0.0	0.0	0.126689	0.077321	0.008666	0.0	0.01552	0.081412	0.081471	0.263655	0.060571	0.003611	0.01177	0.021653	0.188103	0.037087	0.022469	
Sample_130	0.01997	0.0	0.0	0.204852	0.005238	0.014516	0.041961	0.033839	0.048306	0.022208	0.277397	0.0433	0.01738	1.1e-05	0.014571	0.173049	0.066946	0.016455	
Sample_131	0.035197	0.0	0.0	0.169101	0.007176	0.016843	0.0	0.051535	0.037429	0.017228	0.274986	0.032859	0.035325	9e-06	0.041549	0.210566	0.05786	0.012336	
Sample_132	0.042913	0.0	0.0	0.197979	0.019188	0.010304	0.0	0.002366	0.029085	0.026973	0.25465	0.008615	0.041289	0.0085	0.076741	0.195907	0.054012	0.031479	
Sample_133	0.173428	0.0	0.0	0.036095	0.06596	0.010124	0.0	0.006509	0.036873	5.5e-05	0.123188	0.035008	0.134933	0.01712	0.072884	0.23487	0.045509	0.007444	
Sample_134	0.129358	0.0	0.0	0.133165	0.044714	0.000277	0.022774	0.018888	0.051689	5.9e-05	0.146629	0.037583	0.117191	0.008145	0.064263	0.175588	0.02919	0.020488	
Sample_135	1.5e-05	0.0	0.060066	0.043271	0.020398	0.042248	0.0	0.026052	0.001786	4.7e-05	0.145011	0.006817	0.066778	6.9e-05	0.056583	0.333835	0.016558	0.180466	
Sample_136	7e-06	0.0	0.0	0.044761	0.005403	0.018747	0.0	0.016887	0.035706	0.000112	0.086718	0.00226	0.029957	0.000239	0.140306	0.400163	0.051693	0.16704	
Sample_137	1.5e-05	0.0	0.043258	0.055872	0.005185	0.082126	0.0	0.003703	0.033255	0.000109	0.070654	0.033513	0.017159	0.006449	0.079937	0.284933	0.036219	0.247614	
Sample_138	1.2e-05	0.0	0.036933	0.021119	0.012108	0.039368	0.0	0.026525	0.033375	0.015977	0.052134	0.040568	0.073035	0.016786	0.071092	0.31422	0.145266	0.101483	
Sample_139	3e-06	0.0	0.0	0.00269	0.001492	0.016789	0.0	0.142134	0.001175	8.7e-05	0.006448	0.005126	0.008729	0.008926	0.216899	0.494498	0.027505	0.0675	
Sample_140	8e-06	0.070782	0.0	0.003964	0.028221	0.017073	0.0	0.061521	0.013143	6.3e-05	0.059848	0.0157	0.011087	1.5e-05	0.152274	0.462523	0.05205	0.051728	
