	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	
Sample_51	0.036841	0.0	0.407052	0.0187	0.006032	0.031076	0.018897	0.129495	0.023624	0.00907	0.319214	
Sample_52	0.063274	0.0	0.419288	0.014025	0.028346	0.016781	0.029347	0.090701	0.011213	0.005726	0.321299	
Sample_53	0.084595	0.0	0.40881	0.003021	0.002616	0.035028	0.020818	0.124877	0.028723	0.008014	0.283498	
Sample_54	0.035951	0.000512	0.490365	0.008684	0.010225	0.007837	0.002925	0.092421	0.025323	0.003482	0.322276	
Sample_55	0.043607	0.0	0.492108	0.014129	0.009932	6.3e-05	0.006861	0.092929	0.017202	0.017678	0.305491	
Sample_56	0.030791	0.002306	0.509638	0.013079	0.007205	0.006087	0.01814	0.091826	0.005647	0.020893	0.294386	
Sample_57	0.037515	0.0	0.516576	0.007152	0.010552	0.002813	0.016422	0.080005	0.01987	0.0233	0.285796	
Sample_58	0.055206	0.000614	0.493457	0.001315	0.022334	0.009852	0.014591	0.059448	0.00688	0.001271	0.335033	
Sample_59	0.11422	0.00063	0.440122	0.008959	0.004953	0.016863	0.018682	0.081453	0.030102	0.008279	0.275737	
Sample_60	0.054037	0.0	0.368359	9.4e-05	0.087911	0.017651	0.009219	0.103152	0.085128	0.009862	0.264587	
Sample_61	0.065712	0.0	0.320498	0.020127	0.021503	0.009603	0.016654	0.107209	0.025865	0.046284	0.366545	
Sample_62	0.064967	0.000576	0.345345	0.013398	0.017654	0.006454	0.008451	0.120446	0.023065	0.023626	0.376018	
Sample_63	0.084432	0.0	0.316553	0.000162	0.018953	0.030228	0.014585	0.106285	0.028691	0.02117	0.378941	
Sample_64	0.099406	0.0	0.345108	0.011165	0.020789	0.012315	0.025824	0.104342	0.020439	0.013328	0.347285	
Sample_65	0.083337	0.0	0.348589	0.02142	0.020134	0.007221	0.015661	0.12542	0.042724	0.007829	0.327664	
Sample_66	0.060172	0.0	0.339658	0.021859	0.034844	0.000195	0.000204	0.154704	0.01666	0.000625	0.371078	
Sample_67	0.073741	0.0	0.335265	0.000188	0.01128	0.007579	0.022292	0.160279	0.011743	0.025433	0.352199	
Sample_68	0.123098	0.0	0.29037	0.008076	0.040538	0.017911	0.0001	0.121029	0.012049	0.031723	0.355107	
Sample_69	0.114365	0.000681	0.317782	0.007691	0.014692	0.009254	0.009003	0.14036	0.021983	0.022166	0.342023	
Sample_70	0.048208	0.001136	0.397973	0.000163	0.020496	0.019045	0.016668	0.079248	0.010959	0.006671	0.399434	
