	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_45	0.041571	0.0	0.0	2.5e-05	0.0	0.0	0.589469	1e-06	0.180708	1e-06	0.010938	0.024181	0.153107	
Sample_46	2e-06	0.0	0.0	2.2e-05	0.0	0.0	0.587112	2e-06	0.275825	1e-06	0.024747	0.015537	0.096752	
Sample_47	1e-06	0.0	0.0	0.047435	0.0	0.0	0.048274	1e-06	0.017168	0.0	0.853427	0.033692	0.0	
Sample_48	0.011084	0.0	0.0	0.039197	0.0	0.031434	3.8e-05	2e-06	0.0	0.021652	0.895845	0.000748	0.0	
Sample_49	2e-06	0.0	0.0	0.0999	0.0	0.020683	0.054496	2e-06	0.037734	0.0	0.735633	0.028038	0.023511	
Sample_50	0.013073	0.00715	0.0	1.3e-05	0.0	0.053487	3.2e-05	1e-06	0.0	0.0	0.789953	0.13629	0.0	
Sample_51	1e-06	0.0	0.0	6e-06	0.0	0.036024	0.010006	1e-06	0.0	0.0	0.834019	0.119943	0.0	
Sample_52	1e-06	0.0	0.0	0.071998	0.0	0.148724	4.6e-05	0.028502	0.0	0.0	0.71371	0.037019	0.0	
Sample_53	0.074879	0.0	0.0	0.048783	0.0	0.0	0.03159	2e-06	0.072446	0.007226	0.619411	0.100028	0.045634	
Sample_54	0.152721	0.03123	0.0	0.073743	0.0	0.123221	0.000107	0.031356	0.0	2e-06	0.444537	0.143081	1e-06	
Sample_55	1e-06	0.0	0.0	9e-06	0.0	0.0	5.1e-05	0.743812	0.0	0.253977	0.001776	0.000373	0.0	
Sample_56	2e-06	0.0	0.0	1.1e-05	0.0	0.0	4.1e-05	0.861863	0.134248	0.0	0.003506	0.000328	0.0	
Sample_57	2e-06	0.064298	0.0	0.034784	0.064297	0.0	0.042982	0.397011	0.052023	0.041842	0.06347	0.156416	0.082876	
Sample_58	2e-06	0.086078	0.0	0.06179	0.07845	0.0	0.02063	0.497144	0.071117	1e-06	0.011873	0.093641	0.079275	
Sample_59	0.007747	0.170125	0.0	2.1e-05	0.0	0.0	8.2e-05	0.36976	0.164468	0.233947	3.4e-05	0.053816	1e-06	
Sample_60	0.023956	0.170528	0.027089	6e-06	0.0	0.0	2.3e-05	0.474523	0.0	0.212899	1.1e-05	0.008165	0.082799	
Sample_61	0.00704	0.182219	0.0	1.7e-05	0.0	0.0	7.8e-05	0.419423	0.231841	0.116113	1.1e-05	0.043258	0.0	
Sample_62	0.011994	0.201345	0.0	0.015322	0.0	0.0	7.9e-05	0.458742	0.268855	1e-06	1.2e-05	0.04365	0.0	
Sample_63	0.009185	0.096484	0.010078	1.7e-05	0.0	0.0	0.034801	0.487999	0.186429	1e-06	0.007314	0.05008	0.117612	
Sample_64	0.004675	0.293274	0.0	0.005393	0.002383	0.0	0.035883	0.297818	0.262538	0.0	7e-06	0.027656	0.070373	
Sample_65	0.061502	0.0	0.436766	2.2e-05	0.438447	0.0	0.045951	2e-06	0.0	1e-06	0.006368	0.000579	0.010362	
Sample_66	0.064459	0.0	0.41904	2e-05	0.468458	0.0	0.042703	2e-06	0.0	1e-06	0.004658	0.000658	1e-06	
Sample_67	0.0	0.0	0.605607	0.0	0.393267	0.0	2e-06	0.0	0.0	0.000581	0.000526	1.6e-05	0.0	
Sample_68	0.009678	0.0	0.21161	2e-05	0.772681	0.0	3.4e-05	1e-06	0.0	0.001171	4e-06	0.0048	0.0	
