	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	
Sample_54	0.082166	0.0	0.039682	0.635017	0.120458	9e-06	0.02957	0.013944	0.047605	0.031551	
Sample_55	0.015703	0.0	0.048088	0.626463	0.036493	0.01774	0.093585	0.116584	3e-06	0.045341	
Sample_56	0.08392	0.038409	0.031504	0.448495	0.137053	0.027128	0.091072	0.064476	3e-06	0.07794	
Sample_57	0.340375	0.0	3e-06	0.659544	2.6e-05	4e-06	3.1e-05	9e-06	1e-06	5e-06	
Sample_58	0.034223	0.0	2e-06	0.067066	2.8e-05	4e-06	0.018461	0.026577	0.853633	5e-06	
Sample_59	4e-06	0.0	0.034029	0.017234	3.3e-05	5e-06	2.8e-05	0.054154	0.89451	4e-06	
Sample_60	0.012272	0.010779	0.066177	0.151574	8.8e-05	7e-06	0.1614	0.016508	0.57037	0.010824	
Sample_61	0.049017	0.880866	9e-06	4.7e-05	0.019773	1.2e-05	0.000157	6e-06	0.039261	0.010853	
Sample_62	0.049723	0.892431	9e-06	5e-05	0.01316	1.3e-05	0.000134	6e-06	0.033891	0.010583	
Sample_63	0.000163	0.997797	0.0	1e-06	1e-06	0.000167	0.000153	0.000166	0.0	0.001554	
Sample_64	1e-06	0.985266	0.000659	2.7e-05	0.001262	0.004874	0.001256	2e-06	1e-06	0.006651	
