	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	
Sample_85	0.020258	0.064629	0.206276	0.097102	0.477221	0.134514	
Sample_86	0.023872	0.021693	0.229089	0.050446	0.506906	0.167994	
Sample_87	0.016599	0.023327	0.103059	0.03435	0.670005	0.15266	
Sample_88	0.020138	0.039245	0.33549	0.103935	0.101421	0.399771	
Sample_89	0.329842	0.079176	0.308436	0.172392	0.076146	0.034008	
Sample_90	0.343771	0.082291	0.311048	0.133373	0.084521	0.044996	
Sample_91	0.396966	0.081562	0.271731	0.141729	0.067065	0.040947	
Sample_92	0.270945	0.10192	0.310548	0.175576	0.06573	0.075281	
Sample_93	0.331061	0.058748	0.185912	0.284574	0.028438	0.111267	
Sample_94	0.098448	0.331442	0.292438	0.079548	0.104557	0.093567	
Sample_95	0.073944	0.413955	0.257628	0.048471	0.08557	0.120432	
Sample_96	0.098764	0.331278	0.242258	0.056911	0.043505	0.227284	
Sample_97	0.101294	0.305459	0.300251	0.068079	0.046804	0.178114	
Sample_98	0.089479	0.234395	0.359254	0.065126	0.102337	0.149409	
Sample_99	0.024467	0.240843	0.414108	0.041138	0.084946	0.194497	
Sample_100	0.104522	0.283295	0.2632	0.064479	0.213964	0.07054	
Sample_101	0.209609	0.170889	0.25356	0.13564	0.072889	0.157414	
Sample_102	0.201967	0.259457	0.191241	0.142078	0.073128	0.132128	
Sample_103	0.051982	0.438481	0.132686	0.026169	0.130623	0.220059	
Sample_104	0.036464	0.445316	0.059747	0.029056	0.214433	0.214983	
Sample_105	0.006047	0.607629	0.030866	0.006685	0.010596	0.338176	
Sample_106	0.000868	0.547104	0.033137	0.006399	0.014383	0.398108	
Sample_107	0.028212	0.508561	0.07181	0.022582	0.063276	0.305558	
Sample_108	0.029227	0.509589	0.10927	0.0227	0.067411	0.261803	
Sample_109	0.020255	0.365475	0.219317	0.045416	0.045831	0.303706	
Sample_110	0.012535	0.000391	0.019709	0.957497	0.004394	0.005474	
