	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	
Sample_1	0.142671	0.389956	0.420143	0.04723	
Sample_2	0.056903	0.420719	0.517133	0.005245	
Sample_3	0.053385	0.539316	0.390685	0.016614	
Sample_4	0.222522	0.311041	0.416415	0.050023	
Sample_5	0.081269	0.290079	0.620818	0.007835	
Sample_6	0.038029	0.252758	0.704309	0.004904	
Sample_7	0.080481	0.190264	0.718252	0.011003	
Sample_8	0.041235	0.196865	0.761899	0.0	
Sample_9	0.0	0.195444	0.804555	0.0	
Sample_10	0.002751	0.185591	0.811658	0.0	
Sample_11	0.014444	0.164511	0.809965	0.01108	
Sample_12	1e-06	0.10505	0.894948	1e-06	
Sample_13	0.0	0.097282	0.893603	0.009115	
Sample_14	0.018889	0.093553	0.887558	0.0	
Sample_15	0.0	6e-06	0.999994	0.0	
Sample_16	0.0	6e-06	0.999457	0.000537	
Sample_17	0.013284	0.808697	0.166319	0.011701	
Sample_18	0.0062	0.817727	0.173161	0.002912	
Sample_19	0.002968	0.85974	0.132175	0.005117	
Sample_20	0.111412	0.71258	0.111707	0.064301	
Sample_21	0.0	0.978972	0.011676	0.009352	
Sample_22	0.005117	0.987276	0.00386	0.003747	
Sample_23	0.999989	3e-06	8e-06	0.0	
Sample_24	0.911099	1.9e-05	0.074741	0.014141	
Sample_25	0.840839	0.09161	0.06755	0.0	
Sample_26	0.786974	0.118958	1.9e-05	0.094049	
Sample_27	0.629038	0.280625	3.6e-05	0.090301	
Sample_28	0.0	2e-06	5e-06	0.999993	
Sample_29	0.0	2e-06	3e-06	0.999995	
Sample_30	0.0	1.2e-05	2.2e-05	0.999965	
